Czechia, Completed cohort fertility by birth order and completed cohort fertility by birth order by age 40
Last modified: 02/02/2023
Cohort     CCF      CCF1      CCF2      CCF3      CCF4     CCF5p     CCF40   CCF40_1   CCF40_2   CCF40_3   CCF40_4  CCF40_5p
1935     2.113     0.926     0.739     0.288     0.092     0.069     2.100     0.924     0.736     0.285     0.089     0.065
1936     2.092     0.922     0.739     0.278     0.087     0.066     2.079     0.920     0.737     0.275     0.085     0.063
1937     2.105     0.929     0.744     0.278     0.086     0.067     2.093     0.928     0.742     0.275     0.084     0.064
1938     2.091     0.925     0.744     0.276     0.083     0.063     2.080     0.923     0.742     0.273     0.081     0.060
1939     2.090     0.925     0.751     0.275     0.081     0.058     2.078     0.924     0.749     0.272     0.079     0.055
1940     2.102     0.939     0.760     0.272     0.079     0.053     2.091     0.937     0.758     0.269     0.077     0.050
1941     2.064     0.928     0.753     0.264     0.074     0.045     2.055     0.927     0.751     0.262     0.072     0.043
1942     2.040     0.922     0.749     0.259     0.069     0.040     2.031     0.921     0.748     0.257     0.068     0.038
1943     2.066     0.936     0.764     0.259     0.068     0.039     2.057     0.935     0.762     0.256     0.066     0.037
1944     2.046     0.930     0.761     0.255     0.065     0.035     2.038     0.929     0.760     0.252     0.063     0.034
1945     2.022     0.917     0.755     0.253     0.063     0.033     2.014     0.916     0.754     0.250     0.062     0.032
1946     2.065     0.934     0.777     0.259     0.063     0.032     2.057     0.933     0.776     0.257     0.061     0.030
1947     2.086     0.939     0.793     0.262     0.062     0.031     2.078     0.937     0.792     0.260     0.061     0.029
1948     2.087     0.932     0.792     0.268     0.064     0.031     2.079     0.931     0.791     0.265     0.062     0.029
1949     2.098     0.933     0.799     0.271     0.064     0.031     2.090     0.932     0.798     0.268     0.062     0.029
1950     2.108     0.940     0.805     0.271     0.063     0.030     2.099     0.939     0.803     0.268     0.061     0.028
1951     2.107     0.939     0.806     0.270     0.063     0.029     2.097     0.938     0.805     0.267     0.061     0.027
1952     2.100     0.939     0.808     0.265     0.061     0.027     2.092     0.938     0.807     0.262     0.059     0.025
1953     2.086     0.937     0.806     0.258     0.059     0.026     2.077     0.936     0.804     0.255     0.057     0.025
1954     2.080     0.940     0.802     0.255     0.058     0.026     2.071     0.939     0.800     0.252     0.056     0.024
1955     2.076     0.941     0.801     0.251     0.058     0.025     2.067     0.940     0.799     0.248     0.056     0.024
1956     2.077     0.943     0.802     0.249     0.057     0.026     2.067     0.942     0.800     0.246     0.055     0.024
1957     2.069     0.941     0.801     0.246     0.056     0.026     2.059     0.939     0.799     0.243     0.054     0.024
1958     2.051     0.934     0.795     0.240     0.056     0.026     2.040     0.933     0.793     0.237     0.054     0.024
1959     2.040     0.935     0.790     0.234     0.054     0.026     2.027     0.934     0.787     0.230     0.052     0.024
1960     2.033     0.938     0.784     0.229     0.055     0.027     2.018     0.936     0.781     0.225     0.052     0.025
1961     2.023     0.937     0.781     0.226     0.054     0.025     2.006     0.935     0.777     0.221     0.051     0.023
1962     2.000     0.937     0.772     0.217     0.051     0.023     1.984     0.935     0.768     0.212     0.048     0.021
1963     1.977     0.937     0.761     0.207     0.048     0.024     1.958     0.934     0.758     0.200     0.045     0.021
1964     1.967     0.936     0.760     0.200     0.049     0.023     1.948     0.933     0.755     0.193     0.046     0.020
1965     1.955     0.936     0.748     0.198     0.048     0.025     1.931     0.933     0.743     0.190     0.044     0.022
1966     1.931     0.930     0.737     0.193     0.047     0.024     1.905     0.925     0.731     0.184     0.043     0.021
1967     1.913     0.922     0.727     0.190     0.047     0.026     1.885     0.918     0.720     0.181     0.044     0.023
1968     1.900     0.920     0.718     0.189     0.047     0.026     1.868     0.915     0.709     0.179     0.042     0.023
1969     1.905     0.928     0.717     0.188     0.047     0.025     1.872     0.923     0.708     0.178     0.042     0.021
1970     1.881     0.924     0.711     0.181     0.042     0.022     1.848     0.919     0.702     0.171     0.037     0.019
1971     1.874     0.919     0.706     0.183     0.043     0.024     1.838     0.912     0.695     0.172     0.039     0.021
1972         .         .         .         .         .         .     1.799     0.895     0.681     0.166     0.037     0.019
1973         .         .         .         .         .         .     1.781     0.894     0.674     0.160     0.035     0.018
1974         .         .         .         .         .         .     1.776     0.894     0.672     0.156     0.035     0.018
1975         .         .         .         .         .         .     1.725     0.873     0.652     0.152     0.032     0.017
1976         .         .         .         .         .         .     1.713     0.871     0.648     0.146     0.031     0.017
1977         .         .         .         .         .         .     1.689     0.859     0.637     0.144     0.031     0.017
1978         .         .         .         .         .         .     1.662     0.849     0.623     0.145     0.031     0.016
1979         .         .         .         .         .         .     1.650     0.841     0.618     0.142     0.031     0.018
1980         .         .         .         .         .         .     1.641     0.836     0.611     0.146     0.032     0.017
1981         .         .         .         .         .         .     1.626     0.827     0.604     0.146     0.031     0.019
