Austria, Period fertility rates by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 05/08/2021
Year    Age        ASFR
1951     12-    0.00000
1951     13     0.00000
1951     14     0.00037
1951     15     0.00150
1951     16     0.00846
1951     17     0.02615
1951     18     0.05113
1951     19     0.07838
1951     20     0.10010
1951     21     0.11041
1951     22     0.11919
1951     23     0.12044
1951     24     0.12267
1951     25     0.12121
1951     26     0.11673
1951     27     0.11540
1951     28     0.10743
1951     29     0.10672
1951     30     0.09880
1951     31     0.08850
1951     32     0.07601
1951     33     0.06957
1951     34     0.06326
1951     35     0.05725
1951     36     0.05347
1951     37     0.04687
1951     38     0.04035
1951     39     0.03363
1951     40     0.02779
1951     41     0.02074
1951     42     0.01533
1951     43     0.01030
1951     44     0.00595
1951     45     0.00343
1951     46     0.00168
1951     47     0.00088
1951     48     0.00039
1951     49     0.00017
1951     50     0.00017
1951     51     0.00007
1951     52     0.00000
1951     53     0.00000
1951     54     0.00000
1951     55+    0.00000
1952     12-    0.00000
1952     13     0.00004
1952     14     0.00038
1952     15     0.00171
1952     16     0.00816
1952     17     0.02519
1952     18     0.05052
1952     19     0.08222
1952     20     0.10226
1952     21     0.11361
1952     22     0.12334
1952     23     0.12349
1952     24     0.12821
1952     25     0.12386
1952     26     0.12439
1952     27     0.11792
1952     28     0.11027
1952     29     0.10458
1952     30     0.09904
1952     31     0.08923
1952     32     0.08245
1952     33     0.07272
1952     34     0.06523
1952     35     0.05612
1952     36     0.05141
1952     37     0.04749
1952     38     0.03974
1952     39     0.03339
1952     40     0.02579
1952     41     0.02156
1952     42     0.01481
1952     43     0.00997
1952     44     0.00562
1952     45     0.00350
1952     46     0.00159
1952     47     0.00065
1952     48     0.00026
1952     49     0.00015
1952     50     0.00010
1952     51     0.00002
1952     52     0.00000
1952     53     0.00000
1952     54     0.00000
1952     55+    0.00000
1953     12-    0.00000
1953     13     0.00004
1953     14     0.00033
1953     15     0.00188
1953     16     0.00881
1953     17     0.02523
1953     18     0.05062
1953     19     0.08029
1953     20     0.10696
1953     21     0.12003
1953     22     0.12885
1953     23     0.12787
1953     24     0.13171
1953     25     0.13080
1953     26     0.12304
1953     27     0.11860
1953     28     0.11329
1953     29     0.10995
1953     30     0.09610
1953     31     0.09336
1953     32     0.08105
1953     33     0.07362
1953     34     0.06448
1953     35     0.05964
1953     36     0.05160
1953     37     0.04282
1953     38     0.03864
1953     39     0.03223
1953     40     0.02611
1953     41     0.01959
1953     42     0.01489
1953     43     0.00947
1953     44     0.00582
1953     45     0.00376
1953     46     0.00166
1953     47     0.00075
1953     48     0.00032
1953     49     0.00013
1953     50     0.00002
1953     51     0.00000
1953     52     0.00000
1953     53     0.00000
1953     54     0.00000
1953     55+    0.00000
1954     12-    0.00000
1954     13     0.00002
1954     14     0.00018
1954     15     0.00204
1954     16     0.00894
1954     17     0.02773
1954     18     0.05217
1954     19     0.08006
1954     20     0.10948
1954     21     0.12211
1954     22     0.13298
1954     23     0.13456
1954     24     0.13642
1954     25     0.13507
1954     26     0.12991
1954     27     0.12410
1954     28     0.11453
1954     29     0.10946
1954     30     0.10208
1954     31     0.09130
1954     32     0.08476
1954     33     0.07584
1954     34     0.06525
1954     35     0.05923
1954     36     0.05345
1954     37     0.04721
1954     38     0.03895
1954     39     0.03338
1954     40     0.02790
1954     41     0.02111
1954     42     0.01434
1954     43     0.00944
1954     44     0.00559
1954     45     0.00320
1954     46     0.00170
1954     47     0.00065
1954     48     0.00040
1954     49     0.00007
1954     50     0.00008
1954     51     0.00001
1954     52     0.00000
1954     53     0.00000
1954     54     0.00000
1954     55+    0.00000
1955     12-    0.00002
1955     13     0.00003
1955     14     0.00003
1955     15     0.00219
1955     16     0.00963
1955     17     0.02750
1955     18     0.05747
1955     19     0.08610
1955     20     0.11072
1955     21     0.12869
1955     22     0.14012
1955     23     0.14761
1955     24     0.14409
1955     25     0.14408
1955     26     0.13890
1955     27     0.13327
1955     28     0.12349
1955     29     0.11507
1955     30     0.10842
1955     31     0.10099
1955     32     0.08886
1955     33     0.08240
1955     34     0.07160
1955     35     0.06433
1955     36     0.05588
1955     37     0.04888
1955     38     0.04025
1955     39     0.03499
1955     40     0.02700
1955     41     0.02042
1955     42     0.01480
1955     43     0.00961
1955     44     0.00597
1955     45     0.00307
1955     46     0.00161
1955     47     0.00068
1955     48     0.00023
1955     49     0.00019
1955     50     0.00011
1955     51     0.00002
1955     52     0.00000
1955     53     0.00000
1955     54     0.00000
1955     55+    0.00000
1956     12-    0.00000
1956     13     0.00002
1956     14     0.00052
1956     15     0.00228
1956     16     0.01053
1956     17     0.02947
1956     18     0.06113
1956     19     0.09358
1956     20     0.11903
1956     21     0.14437
1956     22     0.15411
1956     23     0.15899
1956     24     0.16084
1956     25     0.15728
1956     26     0.14964
1956     27     0.14315
1956     28     0.13482
1956     29     0.12497
1956     30     0.11408
1956     31     0.10781
1956     32     0.09666
1956     33     0.08770
1956     34     0.07965
1956     35     0.06767
1956     36     0.06075
1956     37     0.05191
1956     38     0.04622
1956     39     0.03738
1956     40     0.03020
1956     41     0.02302
1956     42     0.01611
1956     43     0.01043
1956     44     0.00619
1956     45     0.00314
1956     46     0.00154
1956     47     0.00066
1956     48     0.00023
1956     49     0.00000
1956     50     0.00001
1956     51     0.00001
1956     52     0.00000
1956     53     0.00000
1956     54     0.00000
1956     55+    0.00000
1957     12-    0.00002
1957     13     0.00011
1957     14     0.00036
1957     15     0.00283
1957     16     0.01044
1957     17     0.03133
1957     18     0.06089
1957     19     0.09569
1957     20     0.12506
1957     21     0.14621
1957     22     0.15946
1957     23     0.16583
1957     24     0.16722
1957     25     0.16597
1957     26     0.15778
1957     27     0.15285
1957     28     0.13923
1957     29     0.13251
1957     30     0.11913
1957     31     0.10862
1957     32     0.09762
1957     33     0.08796
1957     34     0.08016
1957     35     0.07290
1957     36     0.06229
1957     37     0.05412
1957     38     0.04643
1957     39     0.03571
1957     40     0.03117
1957     41     0.02270
1957     42     0.01565
1957     43     0.01128
1957     44     0.00626
1957     45     0.00352
1957     46     0.00168
1957     47     0.00088
1957     48     0.00028
1957     49     0.00011
1957     50     0.00001
1957     51     0.00000
1957     52     0.00000
1957     53     0.00000
1957     54     0.00000
1957     55+    0.00000
1958     12-    0.00003
1958     13     0.00006
1958     14     0.00045
1958     15     0.00257
1958     16     0.01112
1958     17     0.03202
1958     18     0.06128
1958     19     0.09682
1958     20     0.12866
1958     21     0.15008
1958     22     0.16504
1958     23     0.17253
1958     24     0.17395
1958     25     0.16988
1958     26     0.16278
1958     27     0.15159
1958     28     0.14011
1958     29     0.12908
1958     30     0.12084
1958     31     0.10898
1958     32     0.09984
1958     33     0.08994
1958     34     0.08034
1958     35     0.07043
1958     36     0.06286
1958     37     0.05211
1958     38     0.04369
1958     39     0.03630
1958     40     0.02822
1958     41     0.02106
1958     42     0.01472
1958     43     0.01106
1958     44     0.00646
1958     45     0.00336
1958     46     0.00125
1958     47     0.00059
1958     48     0.00029
1958     49     0.00004
1958     50     0.00002
1958     51     0.00000
1958     52     0.00000
1958     53     0.00000
1958     54     0.00000
1958     55+    0.00000
1959     12-    0.00002
1959     13     0.00010
1959     14     0.00059
1959     15     0.00316
1959     16     0.01273
1959     17     0.03385
1959     18     0.06534
1959     19     0.10235
1959     20     0.13081
1959     21     0.15484
1959     22     0.17307
1959     23     0.17642
1959     24     0.18368
1959     25     0.17526
1959     26     0.16793
1959     27     0.16042
1959     28     0.14479
1959     29     0.13713
1959     30     0.12451
1959     31     0.11130
1959     32     0.09853
1959     33     0.09039
1959     34     0.07936
1959     35     0.07266
1959     36     0.06096
1959     37     0.05522
1959     38     0.04452
1959     39     0.03840
1959     40     0.02938
1959     41     0.02297
1959     42     0.01551
1959     43     0.00939
1959     44     0.00627
1959     45     0.00360
1959     46     0.00140
1959     47     0.00056
1959     48     0.00025
1959     49     0.00012
1959     50     0.00005
1959     51     0.00001
1959     52     0.00000
1959     53     0.00000
1959     54     0.00000
1959     55+    0.00000
1960     12-    0.00000
1960     13     0.00010
1960     14     0.00055
1960     15     0.00321
1960     16     0.01353
1960     17     0.03749
1960     18     0.06714
1960     19     0.10243
1960     20     0.13236
1960     21     0.15199
1960     22     0.16985
1960     23     0.17894
1960     24     0.18035
1960     25     0.17634
1960     26     0.17272
1960     27     0.16146
1960     28     0.15244
1960     29     0.13477
1960     30     0.12184
1960     31     0.11238
1960     32     0.10374
1960     33     0.08975
1960     34     0.07940
1960     35     0.07018
1960     36     0.06113
1960     37     0.05166
1960     38     0.04612
1960     39     0.03719
1960     40     0.02766
1960     41     0.02255
1960     42     0.01515
1960     43     0.00972
1960     44     0.00578
1960     45     0.00325
1960     46     0.00157
1960     47     0.00050
1960     48     0.00020
1960     49     0.00006
1960     50     0.00001
1960     51     0.00000
1960     52     0.00000
1960     53     0.00000
1960     54     0.00000
1960     55+    0.00000
1961     12-    0.00002
1961     13     0.00011
1961     14     0.00051
1961     15     0.00432
1961     16     0.01712
1961     17     0.04137
1961     18     0.07549
1961     19     0.10720
1961     20     0.13549
1961     21     0.15674
1961     22     0.17162
1961     23     0.18556
1961     24     0.18768
1961     25     0.18379
1961     26     0.17543
1961     27     0.16422
1961     28     0.15690
1961     29     0.13907
1961     30     0.13030
1961     31     0.11306
1961     32     0.10415
1961     33     0.09204
1961     34     0.08140
1961     35     0.07107
1961     36     0.06521
1961     37     0.05480
1961     38     0.04541
1961     39     0.03864
1961     40     0.02868
1961     41     0.02248
1961     42     0.01585
1961     43     0.00960
1961     44     0.00543
1961     45     0.00272
1961     46     0.00163
1961     47     0.00076
1961     48     0.00034
1961     49     0.00005
1961     50     0.00002
1961     51     0.00003
1961     52     0.00000
1961     53     0.00000
1961     54     0.00000
1961     55+    0.00000
1962     12-    0.00000
1962     13     0.00008
1962     14     0.00030
1962     15     0.00408
1962     16     0.01839
1962     17     0.04684
1962     18     0.08003
1962     19     0.11121
1962     20     0.13835
1962     21     0.15625
1962     22     0.17107
1962     23     0.18123
1962     24     0.18599
1962     25     0.18433
1962     26     0.17699
1962     27     0.16513
1962     28     0.15454
1962     29     0.14203
1962     30     0.13303
1962     31     0.11546
1962     32     0.10553
1962     33     0.08981
1962     34     0.08062
1962     35     0.07275
1962     36     0.06058
1962     37     0.05263
1962     38     0.04531
1962     39     0.03866
1962     40     0.02991
1962     41     0.02225
1962     42     0.01501
1962     43     0.01021
1962     44     0.00682
1962     45     0.00285
1962     46     0.00113
1962     47     0.00074
1962     48     0.00024
1962     49     0.00007
1962     50     0.00000
1962     51     0.00000
1962     52     0.00000
1962     53     0.00000
1962     54     0.00000
1962     55+    0.00000
1963     12-    0.00004
1963     13     0.00006
1963     14     0.00064
1963     15     0.00422
1963     16     0.01840
1963     17     0.04927
1963     18     0.08746
1963     19     0.11839
1963     20     0.14264
1963     21     0.15726
1963     22     0.16988
1963     23     0.17598
1963     24     0.17970
1963     25     0.18701
1963     26     0.17673
1963     27     0.16639
1963     28     0.15823
1963     29     0.14200
1963     30     0.13133
1963     31     0.11976
1963     32     0.10583
1963     33     0.09176
1963     34     0.08393
1963     35     0.07156
1963     36     0.06180
1963     37     0.05443
1963     38     0.04439
1963     39     0.03647
1963     40     0.02917
1963     41     0.02080
1963     42     0.01538
1963     43     0.00964
1963     44     0.00557
1963     45     0.00305
1963     46     0.00103
1963     47     0.00076
1963     48     0.00027
1963     49     0.00009
1963     50     0.00002
1963     51     0.00000
1963     52     0.00000
1963     53     0.00000
1963     54     0.00000
1963     55+    0.00000
1964     12-    0.00000
1964     13     0.00008
1964     14     0.00062
1964     15     0.00460
1964     16     0.01796
1964     17     0.05124
1964     18     0.09510
1964     19     0.12269
1964     20     0.14499
1964     21     0.15477
1964     22     0.16839
1964     23     0.17367
1964     24     0.17301
1964     25     0.17351
1964     26     0.17676
1964     27     0.16294
1964     28     0.15222
1964     29     0.14419
1964     30     0.12934
1964     31     0.11682
1964     32     0.10532
1964     33     0.09205
1964     34     0.08033
1964     35     0.07213
1964     36     0.06244
1964     37     0.05109
1964     38     0.04301
1964     39     0.03548
1964     40     0.02905
1964     41     0.02300
1964     42     0.01613
1964     43     0.01018
1964     44     0.00578
1964     45     0.00308
1964     46     0.00170
1964     47     0.00074
1964     48     0.00032
1964     49     0.00002
1964     50     0.00000
1964     51     0.00000
1964     52     0.00000
1964     53     0.00000
1964     54     0.00000
1964     55+    0.00000
1965     12-    0.00000
1965     13     0.00002
1965     14     0.00042
1965     15     0.00337
1965     16     0.01745
1965     17     0.04929
1965     18     0.09405
1965     19     0.13396
1965     20     0.14362
1965     21     0.15666
1965     22     0.16629
1965     23     0.16798
1965     24     0.16992
1965     25     0.16760
1965     26     0.15795
1965     27     0.15611
1965     28     0.14596
1965     29     0.13452
1965     30     0.12619
1965     31     0.11174
1965     32     0.09767
1965     33     0.08607
1965     34     0.08000
1965     35     0.06873
1965     36     0.05999
1965     37     0.04844
1965     38     0.04219
1965     39     0.03418
1965     40     0.02727
1965     41     0.02093
1965     42     0.01481
1965     43     0.00913
1965     44     0.00561
1965     45     0.00272
1965     46     0.00149
1965     47     0.00059
1965     48     0.00048
1965     49     0.00005
1965     50     0.00001
1965     51     0.00000
1965     52     0.00000
1965     53     0.00000
1965     54     0.00000
1965     55+    0.00000
1966     12-    0.00000
1966     13     0.00002
1966     14     0.00049
1966     15     0.00310
1966     16     0.01706
1966     17     0.05111
1966     18     0.09616
1966     19     0.13577
1966     20     0.15995
1966     21     0.15986
1966     22     0.16568
1966     23     0.17035
1966     24     0.16439
1966     25     0.16001
1966     26     0.15391
1966     27     0.14529
1966     28     0.14270
1966     29     0.12935
1966     30     0.11891
1966     31     0.11007
1966     32     0.09539
1966     33     0.08630
1966     34     0.07433
1966     35     0.06556
1966     36     0.05728
1966     37     0.04847
1966     38     0.04053
1966     39     0.03190
1966     40     0.02476
1966     41     0.01999
1966     42     0.01456
1966     43     0.00896
1966     44     0.00575
1966     45     0.00290
1966     46     0.00112
1966     47     0.00050
1966     48     0.00024
