Austria, Census-based period fertility tables, birth orders 1 to 5+
Last modified: 05/08/2021
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
1991    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1991    13   0.99993   0.00005   0.00005   10000      0   10000      0   0.00007         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1991    14   0.99938   0.00047   0.00047   10000      5    9997      0   0.00061   0.03844   0.03772      0      0       3      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1991    15   0.99780   0.00211   0.00211    9995     21    9984      5   0.00215   0.01050   0.01044      5      0      16      0   0.00004         .         .      0      0       0      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1991    16   0.99210   0.00647   0.00645    9974     64    9942     26   0.00743   0.04576   0.04474     26      3      58      0   0.00046   0.04572   0.04469      0      0       1      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1991    17   0.97802   0.01745   0.01730    9909    171    9824     91   0.02024   0.06266   0.06075     88     11     171      3   0.00173   0.02407   0.02378      3      0       5      0   0.00002         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1991    18   0.95434   0.03046   0.03001    9738    292    9592    262   0.04126   0.06288   0.06096    248     24     387     14   0.00426   0.05119   0.04991     13      1      21      0   0.00013   0.45800   0.37266      0      0       0      0   0.00001         .         .      0      0       0      0
1991    19   0.92037   0.04586   0.04483    9446    423    9234    554   0.07023   0.08829   0.08456    516     62     706     38   0.00864   0.08329   0.07996     37      5      57      1   0.00074   0.02507   0.02476      1      0       2      0   0.00003         .         .      0      0       0      0
1991    20   0.87448   0.05962   0.05789    9022    522    8761    978   0.10701   0.11286   0.10683    877    123    1092    100   0.01687   0.06139   0.05956     94      8     138      6   0.00160   0.03295   0.03242      6      0       8      0   0.00004         .         .      0      0       0      0
1991    21   0.81511   0.06825   0.06599    8500    561    8220   1500   0.14939   0.12213   0.11510   1276    181    1483    223   0.03201   0.06270   0.06079    209     17     276     14   0.00337   0.07391   0.07128     14      1      20      1   0.00013   0.24854   0.22107      1      0       1      0
1991    22   0.75143   0.07661   0.07379    7939    586    7646   2061   0.18792   0.13628   0.12759   1656    251    1843    405   0.05401   0.07220   0.06968    373     34     466     32   0.00608   0.08726   0.08361     30      4      42      2   0.00057   0.02731   0.02694      2      0       3      0
