Ukraine, Live births by calendar year, age and birth order (Lexis squares, age in completed years (ACY))
Last modified: 13/11/2015
Year    Age        Total          B1          B2          B3          B4         B5p
1959     12-        0.05        0.05        0.00        0.00        0.00        0.00
1959     13         0.96        0.96        0.00        0.00        0.00        0.00
1959     14        12.09       12.09        0.00        0.00        0.00        0.00
1959     15       110.15      110.15        0.00        0.00        0.00        0.00
1959     16       582.42      582.42        0.00        0.00        0.00        0.00
1959     17      3682.32     3681.66        0.56        0.09        0.00        0.00
1959     18     15169.82    15023.56      133.46       12.79        0.00        0.00
1959     19     32348.83    29387.91     2750.98      209.93        0.00        0.00
1959     20     55539.94    48311.95     6643.94      584.05        0.00        0.00
1959     21     74042.13    60445.91    12389.49     1206.69        0.03        0.01
1959     22     77328.55    58414.98    17009.76     1899.75        2.89        1.19
1959     23     68577.37    46571.96    19230.84     2565.51      162.15       46.91
1959     24     56579.56    32054.70    19775.59     3288.05     1161.37      299.86
1959     25     46474.55    22548.77    18809.34     3848.73      986.18      281.52
1959     26     43464.24    17413.05    19008.99     5178.65     1415.47      448.07
1959     27     42752.40    14378.80    19225.35     6693.73     1810.04      644.49
1959     28     46243.37    13378.12    20841.70     8679.42     2386.06      958.06
1959     29     48820.75    12409.52    21733.19    10068.46     3173.57     1436.01
1959     30     46563.65    10135.63    20027.23    10408.99     3898.15     2093.64
1959     31     40049.56     7912.22    16559.65     9364.99     3795.32     2417.38
1959     32     34204.28     6243.97    13445.80     8262.87     3584.21     2667.44
1959     33     31350.38     5306.55    11516.91     7789.26     3629.33     3108.35
1959     34     27759.88     4327.27     9322.36     7035.74     3568.20     3506.30
1959     35     23228.82     3332.10     7050.63     5841.21     3228.08     3776.79
1959     36     18348.81     2474.33     5098.90     4493.34     2649.45     3632.77
1959     37     13238.70     1688.63     3291.15     3099.71     1974.39     3184.81
1959     38      9591.92     1155.39     2094.03     2104.81     1459.87     2777.83
1959     39      6922.78      782.29     1311.51     1397.40     1057.66     2373.92
1959     40      5830.18      605.93     1034.83     1111.79      878.47     2199.16
1959     41      3771.04      365.99      613.30      661.89      552.33     1577.53
1959     42      2184.66      209.23      305.66      337.34      307.06     1025.37
1959     43      1688.02      161.65      195.38      223.22      224.43      883.33
1959     44      1333.38      125.91      120.98      149.05      166.64      770.80
1959     45       934.74       95.80       62.74       90.29      111.13      574.80
1959     46       635.50       49.69       40.37       60.29       73.62      411.53
1959     47       400.06       16.47       30.84       39.88       44.39      268.47
1959     48       268.41        4.91       31.43       28.31       27.02      176.75
1959     49       172.05        1.02       33.79       18.76       14.58      103.91
1959     50       102.11        0.00       32.88       10.56        6.82       51.85
1959     51        66.65        0.00       27.26        6.34        3.78       29.27
1959     52        46.59        0.00       18.91        4.71        2.67       20.30
1959     53        36.88        0.00       12.42        4.50        2.53       17.43
1959     54        29.33        0.00        7.33        4.46        2.55       14.98
1959     55+       64.12        0.00       13.02       14.11        7.61       29.38
1960     12-        0.06        0.06        0.00        0.00        0.00        0.00
1960     13         1.05        1.05        0.00        0.00        0.00        0.00
1960     14        12.60       12.60        0.00        0.00        0.00        0.00
1960     15        96.49       96.49        0.00        0.00        0.00        0.00
1960     16       459.86      459.84        0.00        0.00        0.00        0.00
1960     17      2834.91     2833.93        0.91        0.06        0.00        0.00
1960     18     13733.38    13375.77      349.13        8.49        0.00        0.00
1960     19     33304.15    26179.76     6986.48      137.91        0.00        0.00
1960     20     52903.64    42597.98     9902.14      403.52        0.00        0.00
1960     21     70568.58    55620.14    13973.06      975.35        0.02        0.01
1960     22     79525.20    60732.69    16886.04     1903.23        2.41        0.83
1960     23     75664.88    53750.82    18749.79     2981.17      148.28       34.82
1960     24     66241.11    39710.29    21168.57     4005.31     1118.35      238.57
1960     25     52750.84    25516.61    21171.82     4700.29     1081.83      280.29
1960     26     39935.66    15710.69    17775.32     4848.88     1227.14      373.63
1960     27     38091.10    12472.76    17756.61     5826.08     1498.23      537.42
1960     28     39049.93    11085.14    18212.68     7093.34     1879.44      779.34
1960     29     43921.65    11223.54    19657.09     9039.74     2729.79     1271.50
1960     30     43554.28    10082.70    18342.59     9795.80     3464.00     1869.16
1960     31     39602.20     8382.43    15900.86     9417.92     3608.67     2292.32
1960     32     35022.48     6874.70    13309.34     8658.32     3560.44     2619.69
1960     33     30705.23     5596.17    10907.05     7815.55     3469.10     2917.35
1960     34     28430.25     4773.49     9277.25     7356.90     3580.59     3442.04
1960     35     23576.03     3617.86     6996.97     6055.32     3238.45     3667.41
1960     36     19277.84     2780.33     5284.31     4827.35     2769.68     3616.18
1960     37     14833.06     2047.92     3691.73     3526.73     2202.68     3364.00
1960     38     10551.52     1399.14     2346.61     2321.64     1594.52     2889.61
1960     39      7514.90      948.29     1475.47     1497.00     1134.51     2459.61
1960     40      5570.90      659.63     1007.89     1015.34      826.78     2061.27
1960     41      4285.19      471.45      708.59      711.03      619.66     1774.46
1960     42      2435.75      248.93      356.33      362.67      340.59     1127.22
1960     43      1251.07      117.55      159.95      166.65      168.36      638.57
1960     44       862.51       73.57       94.71      103.02      111.70      479.50
1960     45       699.82       61.59       64.63       78.22       88.35      407.03
1960     46       510.11       34.33       45.82       56.86       64.49      308.59
1960     47       341.19       12.80       35.24       38.22       43.17      211.76
1960     48       215.01        3.84       29.31       23.64       26.45      131.77
1960     49       145.10        0.88       27.93       15.13       16.79       84.38
1960     50        87.26        0.00       23.80        8.35        9.16       45.95
1960     51        53.88        0.00       17.38        4.85        5.29       26.36
1960     52        39.10        0.00       11.78        3.81        4.04       19.49
1960     53        29.78        0.00        6.96        3.57        3.53       15.74
1960     54        24.37        0.00        3.95        3.76        3.35       13.30
1960     55+       54.09        0.00        7.56       12.97        8.65       24.91
1961     12-        0.06        0.06        0.00        0.00        0.00        0.00
1961     13         1.10        1.10        0.00        0.00        0.00        0.00
1961     14        14.58       14.58        0.00        0.00        0.00        0.00
1961     15       111.49      111.49        0.00        0.00        0.00        0.00
1961     16       471.50      471.50        0.00        0.00        0.00        0.00
1961     17      2819.18     2818.67        0.45        0.05        0.00        0.00
1961     18     11833.47    11712.87      114.66        5.94        0.00        0.00
1961     19     30397.88    27268.27     3006.09      123.51        0.00        0.00
1961     20     50258.81    42583.84     7269.80      405.17        0.00        0.00
1961     21     63986.94    49689.26    13317.76      979.89        0.01        0.01
1961     22     74378.33    52301.69    20094.23     1979.33        2.31        0.78
1961     23     78430.57    49395.77    25521.87     3316.11      160.08       36.72
1961     24     75102.92    40839.17    28097.84     4619.87     1279.03      267.01
1961     25     61355.90    27714.51    26205.83     5734.59     1351.28      349.70
1961     26     44008.90    17111.35    19499.29     5542.00     1425.74      430.51
1961     27     33464.92    11216.88    15056.53     5318.31     1383.81      489.38
1961     28     32915.22     9430.83    14914.01     6221.67     1666.53      682.18
1961     29     35084.70     8430.59    15831.38     7471.44     2284.75     1066.54
1961     30     38135.81     8000.44    16893.64     8574.31     3030.47     1636.95
1961     31     35900.22     6659.67    15293.15     8535.34     3273.30     2138.74
1961     32     33203.01     5626.75    13405.81     8191.66     3375.69     2603.10
1961     33     29547.50     4688.73    11123.01     7481.55     3320.15     2934.06
1961     34     25652.07     3868.80     8850.58     6593.62     3183.62     3155.44
1961     35     21387.83     3045.13     6716.95     5494.44     2879.53     3251.79
1961     36     17103.53     2349.16     4999.42     4325.45     2401.26     3028.25
1961     37     13788.45     1855.21     3702.27     3350.07     2004.92     2876.00
1961     38     10655.34     1402.62     2580.49     2422.01     1587.14     2663.07
1961     39      7695.02      977.32     1649.58     1595.70     1153.70     2318.74
1961     40      5605.24      672.92     1091.87     1060.42      840.61     1939.43
1961     41      3970.90      454.55      689.83      684.32      581.93     1560.27
1961     42      2637.23      291.12      388.77      407.11      361.79     1188.44
1961     43      1323.66      139.76      162.54      181.91      165.84      673.62
1961     44       615.85       61.40       61.98       75.35       69.42      347.71
1961     45       485.62       53.62       38.24       49.29       50.71      293.77
1961     46       391.28       34.16       29.90       37.78       42.74      246.70
1961     47       275.78       14.16       25.26       31.50       32.26      172.60
1961     48       176.23        4.54       22.47       26.88       21.21      101.13
1961     49       105.63        0.96       19.77       21.56       12.18       51.15
1961     50        58.70        0.00       15.88       16.40        5.48       20.94
1961     51        37.03        0.00       11.88        9.75        3.27       12.12
1961     52        24.72        0.00        7.65        4.22        2.92        9.92
1961     53        18.97        0.00        4.17        1.49        3.51        9.81
1961     54        14.86        0.00        1.70        0.39        3.99        8.78
1961     55+       35.06        0.00        3.00        0.00       15.03       17.04
1962     12-        0.06        0.06        0.00        0.00        0.00        0.00
1962     13         1.16        1.16        0.00        0.00        0.00        0.00
1962     14        14.73       14.73        0.00        0.00        0.00        0.00
1962     15       122.31      122.31        0.00        0.00        0.00        0.00
1962     16       595.51      595.51        0.00        0.00        0.00        0.00
1962     17      2822.70     2822.18        0.46        0.06        0.00        0.00
1962     18     11056.33    10946.56      102.18        7.52        0.07        0.00
1962     19     24379.74    22035.87     2210.06      132.88        0.92        0.00
1962     20     39057.61    34090.91     4615.72      345.98        5.00        0.00
1962     21     56202.46    45830.99     9462.16      880.80       28.51        0.01
1962     22     65042.63    49016.85    14245.45     1659.80      119.89        0.63
1962     23     73439.15    50465.01    19734.38     2823.62      384.33       31.81
1962     24     80049.78    48662.57    25967.69     4385.56      781.50      252.45
1962     25     72693.92    35747.65    28969.75     6316.90     1275.13      384.49
1962     26     54814.96    23159.09    23497.22     6275.27     1429.27      454.12
1962     27     40057.57    14385.65    17974.72     5782.75     1445.87      468.58
1962     28     31197.78     9338.47    14376.09     5465.13     1501.91      516.17
1962     29     31434.19     7626.66    14557.01     6439.64     2001.22      809.65
1962     30     33020.34     7048.69    15087.20     7215.90     2464.00     1204.55
1962     31     32628.13     6002.78    14238.68     7709.33     2922.55     1754.78
1962     32     31102.78     5148.52    12781.45     7689.34     3185.10     2298.35
1962     33     28953.25     4496.61    11093.26     7327.07     3282.41     2753.91
1962     34     25873.70     3900.97     9179.26     6603.76     3185.41     3004.29
1962     35     20533.32     2988.55     6705.10     5220.63     2701.83     2917.22
1962     36     16785.02     2406.66     5156.00     4205.87     2273.42     2743.07
1962     37     13769.10     1940.87     3909.68     3364.60     1930.38     2623.57
1962     38     11358.79     1553.07     2910.60     2656.41     1646.51     2592.20
1962     39      8900.84     1161.38     2011.78     1943.57     1312.75     2471.37
1962     40      6689.50      835.15     1337.03     1347.54      984.27     2185.52
1962     41      4582.99      558.92      812.37      834.63      644.31     1732.77
1962     42      2628.78      317.56      407.12      418.18      334.72     1151.20
1962     43      1456.48      175.42      197.21      200.24      163.66      719.95
1962     44       623.16       75.20       73.26       73.85       61.24      339.62
1962     45       345.26       39.87       37.25       37.06       29.49      201.59
1962     46       257.39       28.48       28.45       26.95       20.64      152.86
1962     47       208.63       23.93       23.61       21.80       17.27      122.02
1962     48       147.14       18.56       16.78       15.55       13.63       82.63
1962     49        93.49       13.48       10.26       10.07       10.39       49.29
1962     50        45.81        8.82        4.60        4.83        5.92       21.65
1962     51        29.04        5.94        2.81        3.06        4.07       13.15
1962     52        22.36        3.60        2.35        2.55        3.09       10.78
1962     53        20.38        1.89        2.69        2.62        2.31       10.87
1962     54        21.65        0.93        3.68        3.06        1.78       12.18
1962     55+       71.12        0.00       24.04       11.51        3.15       32.43
1963     12-        0.06        0.05        0.00        0.00        0.00        0.00
1963     13         1.33        1.30        0.03        0.00        0.00        0.00
1963     14        19.39       19.25        0.14        0.00        0.00        0.00
1963     15       150.54      149.72        0.83        0.00        0.00        0.00
1963     16       868.48      861.30        7.17        0.00        0.00        0.00
1963     17      3684.16     3617.91       66.19        0.07        0.00        0.00
1963     18     11018.01    10541.50      471.02        5.49        0.00        0.00
1963     19     23072.50    21103.11     1870.61       98.78        0.00        0.00
1963     20     29676.85    26250.34     3205.11      221.40        0.00        0.00
1963     21     47668.68    39215.78     7742.08      710.81        0.01        0.01
1963     22     62451.25    46411.85    14373.85     1663.29        1.70        0.57
1963     23     69271.17    45555.63    20659.79     2903.95      123.78       28.02
1963     24     77242.73    44306.73    27048.87     4533.79     1122.02      231.33
1963     25     76054.64    35265.14    31867.06     6955.75     1557.04      409.64
1963     26     61945.82    24865.59    27666.12     7160.88     1729.31      523.92
1963     27     46104.90    15993.17    21442.72     6523.83     1590.71      554.46
1963     28     34451.24    10131.15    16360.56     5873.29     1494.23      592.02
1963     29     27802.59     6674.88    13081.32     5625.01     1673.28      748.10
1963     30     28589.95     6027.42    13099.95     6252.77     2151.00     1058.80
1963     31     27187.10     4934.32    11754.36     6489.90     2503.04     1505.46
1963     32     27392.68     4465.91    11058.83     6880.30     2895.38     2092.26
1963     33     26698.90     4088.28    10033.23     6884.85     3087.30     2605.24
1963     34     25056.29     3745.62     8778.21     6532.84     3071.20     2928.42
1963     35     20541.50     2962.05     6642.50     5392.81     2646.10     2898.04
1963     36     16381.63     2332.02     5007.04     4274.05     2149.37     2619.15
1963     37     13711.57     1931.36     3915.62     3484.13     1848.63     2531.83
1963     38     11277.25     1554.00     2949.30     2721.00     1569.61     2483.34
1963     39      9046.84     1197.44     2118.47     2017.68     1289.33     2423.94
1963     40      6727.27      827.55     1427.27     1367.79      958.72     2145.93
1963     41      4550.03      540.88      865.01      845.92      635.77     1662.46
1963     42      2663.40      323.75      427.21      443.00      357.38     1112.05
1963     43      1484.56      186.60      196.60      219.06      188.41      693.90
1963     44       856.30      109.37       92.99      112.52      102.34      439.07
1963     45       509.51       73.96       45.86       61.18       55.41      273.11
1963     46       265.20       28.66       24.52       31.92       28.52      151.57
1963     47       184.02        9.92       19.78       23.24       21.21      109.87
1963     48       136.41        3.13       17.94       17.84       16.99       80.51
1963     49        86.02        0.66       14.35       11.44       11.51       48.05
1963     50        43.62        0.22        9.16        5.81        6.15       22.29
1963     51        26.27        0.22        6.16        3.53        3.61       12.75
1963     52        18.19        0.22        4.51        2.51        2.03        8.92
1963     53        13.70        0.20        3.38        1.99        1.07        7.06
1963     54        10.44        0.19        2.51        1.62        0.52        5.60
1963     55+       26.04        0.00        8.01        5.01        1.00       12.02
1964     12-        0.06        0.05        0.00        0.00        0.00        0.00
1964     13         1.29        1.28        0.02        0.00        0.00        0.00
1964     14        20.32       20.18        0.14        0.00        0.00        0.00
1964     15       171.63      170.79        0.84        0.00        0.00        0.00
1964     16       996.50      988.73        7.77        0.00        0.00        0.00
1964     17      4292.63     4219.28       73.27        0.07        0.00        0.00
1964     18     11648.73    11170.03      473.32        5.39        0.00        0.00
1964     19     19948.94    18333.04     1536.01       79.88        0.00        0.00
1964     20     24559.70    21985.08     2412.40      162.22        0.00        0.00
1964     21     34896.45    29153.96     5257.92      484.55        0.01        0.00
1964     22     51128.30    38633.93    11165.90     1326.64        1.38        0.44
1964     23     63227.06    42202.86    18238.15     2648.61      113.25       24.19
1964     24     68622.79    39974.88    23486.72     3976.27      989.61      195.30
1964     25     71209.44    34030.76    29365.46     6111.37     1350.38      351.46
1964     26     64166.44    26848.30    28444.20     6776.68     1606.07      491.20
1964     27     52547.98    19255.80    24443.81     6683.03     1596.47      568.87
1964     28     40312.38    12678.83    19268.28     6194.76     1543.16      627.34
1964     29     31604.86     8188.77    15026.41     5896.55     1710.65      782.48
1964     30     25611.77     5689.22    11789.15     5394.92     1813.21      925.25
1964     31     23365.51     4471.84    10093.14     5449.37     2062.92     1288.22
1964     32     22644.74     3883.99     9117.31     5582.84     2320.81     1739.78
1964     33     23018.92     3703.64     8671.43     5806.58     2586.07     2251.21
1964     34     22535.49     3554.50     8020.60     5704.51     2668.71     2587.16
1964     35     19233.19     2985.97     6413.73     4863.58     2378.39     2591.50
1964     36     15734.34     2447.04     5002.96     3944.10     1980.88     2359.35
1964     37     12810.11     1965.17     3837.45     3148.27     1666.90     2192.31
1964     38     10745.50     1592.60     2966.12     2540.02     1459.85     2186.91
1964     39      8768.49     1233.63     2172.84     1943.94     1236.48     2181.59
1964     40      6733.93      962.99     1472.46     1353.76      952.06     1992.67
1964     41      4792.63      688.58      935.61      882.62      667.48     1618.35
1964     42      2778.36      365.98      471.46      466.32      376.71     1097.89
1964     43      1454.81      166.53      211.83      220.96      188.94      666.54
1964     44       756.70       67.84       95.09      104.49       93.70      395.59
1964     45       524.11       39.00       58.44       67.68       61.91      297.08
1964     46       293.10       26.59       30.74       34.92       32.57      168.26
1964     47       145.07       16.55       15.92       16.31       15.57       80.72
1964     48        91.27       12.04       11.28        9.89        9.67       48.39
1964     49        52.17        5.00        8.03        5.77        5.84       27.55
1964     50        20.96        0.00        4.62        2.45        2.61       11.27
1964     51        11.87        0.00        2.87        1.41        1.47        6.11
1964     52         8.63        0.00        1.98        1.05        1.08        4.52
1964     53        10.85        0.00        2.07        1.38        1.36        6.04
1964     54        16.80        0.00        2.48        2.34        2.12        9.87
1964     55+      153.23      137.17        3.01        3.01        2.01        8.04
1965     12-        0.05        0.05        0.00        0.00        0.00        0.00
1965     13         1.20        1.20        0.00        0.00        0.00        0.00
1965     14        18.31       18.31        0.00        0.00        0.00        0.00
1965     15       162.77      162.77        0.00        0.00        0.00        0.00
1965     16      1064.56     1064.54        0.00        0.00        0.00        0.00
1965     17      4361.99     4361.25        0.66        0.08        0.00        0.00
1965     18     13334.71    13210.81      116.92        6.98        0.00        0.00
1965     19     22134.36    20051.68     1985.41       97.27        0.00        0.00
1965     20     22878.74    20162.36     2554.65      161.73        0.00        0.00
1965     21     31140.91    25311.83     5372.34      456.72        0.01        0.00
1965     22     38508.96    28290.57     9163.84     1053.21        1.07        0.29
1965     23     51310.39    33575.32    15343.82     2274.35       99.25       17.65
1965     24     59933.82    34106.82    21112.61     3620.50      936.92      156.95
1965     25     60932.46    28656.84    25621.37     5165.95     1204.51      283.78
1965     26     57171.28    23855.61    25502.71     5912.53     1472.19      428.24
1965     27     52159.28    19280.05    24289.76     6428.14     1599.14      562.18
1965     28     45181.43    14390.09    21752.59     6648.38     1698.49      691.87
1965     29     37347.21     9771.69    18188.90     6592.98     1918.60      875.04
1965     30     29304.23     6268.46    13995.29     5990.23     2000.66     1049.60
1965     31     21555.62     3955.17     9789.21     4882.57     1790.00     1138.67
1965     32     20160.95     3328.78     8565.41     4868.08     1936.06     1462.61
1965     33     19791.12     3092.48     7805.28     4943.84     2111.92     1837.60
1965     34     19963.05     3087.21     7301.05     5048.96     2300.06     2225.78
1965     35     18259.43     2819.02     6206.79     4647.34     2221.86     2364.42
1965     36     15518.72     2391.88     4965.01     3938.75     1954.50     2268.58
1965     37     12893.79     1996.12     3877.27     3186.00     1676.15     2158.26
1965     38     10504.30     1623.99     2937.25     2463.55     1403.77     2075.75
1965     39      8611.98     1312.98     2202.16     1871.95     1169.74     2055.15
1965     40      6456.18      963.60     1494.58     1292.36      873.58     1832.06
1965     41      4694.44      698.33      988.38      871.19      623.84     1512.70
1965     42      2992.36      449.06      556.18      503.31      384.34     1099.47
1965     43      1712.16      257.58      276.35      258.58      209.74      709.92
1965     44       923.23      136.56      128.95      125.66      107.10      424.97
1965     45       548.65       84.32       68.50       68.04       62.10      265.70
1965     46       333.56       42.03       38.42       41.62       36.57      174.92
1965     47       141.82       11.04       14.95       19.76       14.18       81.90
1965     48        55.22        2.40        5.19        8.79        4.77       34.09
1965     49        28.68        0.55        2.30        5.27        1.93       18.61
1965     50        20.07        0.00        1.45        4.23        0.97       13.43
1965     51        13.51        0.00        1.03        3.04        0.63        8.80
1965     52         8.58        0.00        0.71        1.98        0.46        5.43
1965     53         5.37        0.00        0.50        1.22        0.46        3.19
1965     54         3.55        0.00        0.39        0.75        0.54        1.87
1965     55+       10.01        0.00        2.00        2.00        3.01        3.01
1966     12-        0.06        0.06        0.00        0.00        0.00        0.00
1966     13         1.32        1.32        0.00        0.00        0.00        0.00
1966     14        20.38       20.38        0.00        0.00        0.00        0.00
1966     15       177.45      177.45        0.00        0.00        0.00        0.00
1966     16      1148.98     1148.97        0.00        0.00        0.00        0.00
1966     17      5241.03     5240.25        0.71        0.08        0.00        0.00
1966     18     14933.53    14811.37      116.59        5.58        0.00        0.00
1966     19     27572.48    25297.84     2189.10       85.54        0.00        0.00
1966     20     28796.83    25648.96     2982.68      165.21        0.00        0.00
1966     21     31933.71    26475.53     5054.61      403.56        0.01        0.00
1966     22     37621.50    28384.63     8285.23      950.25        1.04        0.36
1966     23     42135.43    28178.57    12012.80     1842.53       81.60       19.95
1966     24     53682.19    30432.62    18864.01     3342.28      851.95      191.34
1966     25     58792.96    27354.27    25020.66     4990.99     1125.16      301.89
1966     26     54465.30    21843.86    25104.47     5739.69     1364.10      413.18
1966     27     52600.76    18504.95    25410.59     6595.36     1557.89      531.97
1966     28     51196.07    15788.02    25324.08     7544.45     1836.82      702.72
1966     29     47871.97    12693.44    23562.50     8292.72     2324.51      998.78
1966     30     37435.88     8279.72    17677.53     7604.53     2545.18     1328.91
1966     31     27224.73     5318.50    12148.72     6052.78     2261.04     1443.67
1966     32     20003.83     3523.22     8315.63     4741.11     1937.05     1486.82
1966     33     18520.06     3004.50     7118.70     4588.92     2010.34     1797.58
1966     34     17801.29     2721.97     6322.12     4549.63     2103.46     2104.11
1966     35     17339.63     2581.06     5853.72     4512.60     2127.74     2264.51
1966     36     15534.26     2245.58     4915.47     4063.01     1985.40     2324.82
1966     37     13224.00     1902.59     3893.60     3388.38     1753.47     2285.96
1966     38     10839.00     1567.58     2931.18     2648.52     1484.19     2207.53
1966     39      8583.14     1243.95     2100.03     1950.12     1201.55     2087.50
1966     40      6320.36      904.02     1392.21     1350.80      875.05     1798.27
1966     41      4652.11      665.51      942.22      933.88      635.96     1474.55
1966     42      3202.26      461.85      583.59      567.00      444.77     1145.06
1966     43      2028.92      290.87      328.18      306.79      287.60      815.48
1966     44      1189.15      164.98      170.92      153.60      169.76      529.89
1966     45       671.69       97.52       85.97       72.20      100.26      315.74
1966     46       378.71       43.33       48.20       42.86       50.24      194.08
1966     47       196.70       12.81       26.80       30.38       18.77      107.93
1966     48        76.06        2.49       10.77       17.16        4.64       41.00
1966     49        28.23        0.37        3.92        9.14        0.97       13.82
1966     50        19.75        0.23        3.02        8.03        0.32        8.15
1966     51        13.89        0.23        2.25        6.01        0.22        5.19
1966     52         7.81        0.21        1.45        3.19        0.16        2.80
1966     53         3.86        0.19        0.84        1.34        0.15        1.33
1966     54         1.74        0.15        0.44        0.45        0.15        0.56
1966     55+        3.00        0.00        0.00        1.00        1.00        1.00
1967     12-        0.06        0.06        0.00        0.00        0.00        0.00
1967     13         1.27        1.27        0.00        0.00        0.00        0.00
1967     14        19.06       19.06        0.00        0.00        0.00        0.00
1967     15       168.76      168.76        0.00        0.00        0.00        0.00
1967     16      1055.97     1055.97        0.00        0.00        0.00        0.00
1967     17      5305.07     5304.22        0.76        0.09        0.00        0.00
1967     18     17458.28    17307.23      142.98        8.06        0.00        0.00
1967     19     30289.78    27726.24     2450.52      113.02        0.00        0.00
1967     20     37010.55    32832.82     3930.25      247.48        0.00        0.00
1967     21     39025.20    32380.80     6132.03      512.36        0.01        0.00
1967     22     37332.63    28340.81     8089.46      901.00        1.06        0.30
1967     23     39540.20    26593.37    11247.03     1604.81       80.04       14.94
1967     24     41671.76    23314.21    14995.73     2515.30      719.35      127.15
1967     25     48700.16    22978.18    20694.95     3917.38      895.85      213.79
1967     26     48016.91    19189.56    22253.37     5013.91     1203.39      356.67
1967     27     45914.83    15855.30    22349.61     5839.27     1375.54      495.11
1967     28     47644.55    14351.84    23820.23     7083.50     1687.39      701.59
1967     29     50401.78    13197.26    25295.00     8553.80     2302.52     1053.20
1967     30     43586.81     9457.88    21238.04     8637.89     2747.42     1505.58
1967     31     32538.81     6318.97    15262.66     7001.77     2418.44     1536.98
1967     32     23540.27     4191.82    10401.28     5425.99     2029.87     1491.32
1967     33     16945.23     2816.24     6908.40     4126.32     1674.16     1420.09
1967     34     15285.46     2397.40     5640.86     3865.28     1707.27     1674.65
1967     35     14953.16     2305.33     5188.67     3827.13     1751.43     1880.58
1967     36     13705.61     2051.51     4369.50     3504.81     1699.21     2080.58
1967     37     12370.21     1830.21     3622.58     3093.13     1613.44     2210.83
1967     38     10436.67     1541.59     2799.43     2503.73     1426.08     2165.84
1967     39      8390.92     1241.48     2052.86     1901.54     1191.76     2003.29
1967     40      6094.55      887.70     1337.33     1314.78      900.14     1654.60
1967     41      4467.06      654.83      900.98      915.06      666.78     1329.41
1967     42      3080.40      466.45      567.91      572.03      446.21     1027.79
1967     43      1956.58      305.59      327.26      321.03      267.07      735.62
1967     44      1144.45      180.34      172.86      164.97      145.01      481.27
1967     45       617.23      107.46       85.32       76.84       70.14      277.46
1967     46       329.43       47.50       42.74       40.99       37.28      160.91
1967     47       176.87       14.52       20.66       26.07       22.25       93.38
1967     48        98.82        3.95        9.79       18.19       13.87       53.01
1967     49        43.62        0.66        3.56       10.06        6.67       22.68
1967     50        27.68        0.00        1.85        7.89        4.61       13.34
1967     51        16.74        0.00        1.23        5.01        2.59        7.90
1967     52         9.65        0.00        0.95        2.72        1.24        4.74
1967     53         4.33        0.00        0.61        1.07        0.44        2.21
1967     54         1.64        0.00        0.34        0.32        0.12        0.85
1967     55+        2.00        0.00        1.00        0.00        0.00        1.00
1968     12-        0.06        0.06        0.00        0.00        0.00        0.00
1968     13         1.43        1.43        0.00        0.00        0.00        0.00
1968     14        22.01       22.01        0.00        0.00        0.00        0.00
1968     15       192.67      192.67        0.00        0.00        0.00        0.00
1968     16      1139.47     1139.47        0.00        0.00        0.00        0.00
1968     17      5576.38     5575.55        0.74        0.09        0.00        0.00
1968     18     19320.48    19156.98      154.19        9.32        0.00        0.00
1968     19     36540.15    33471.87     2922.43      145.86        0.00        0.00
1968     20     42002.37    37100.37     4591.17      310.82        0.00        0.00
1968     21     48599.53    40249.05     7683.03      667.42        0.01        0.01
1968     22     43250.18    32847.09     9354.72     1046.55        1.34        0.47
1968     23     37077.26    24854.32    10634.13     1482.13       85.40       21.27
1968     24     37393.08    20368.61    13854.14     2249.66      747.96      172.71
1968     25     37020.93    17162.17    16096.27     2872.99      697.72      191.77
1968     26     40015.16    15423.30    19139.34     4091.70     1033.26      327.57
1968     27     41056.49    13517.73    20679.72     5142.22     1258.93      457.89
1968     28     42531.93    12245.89    21968.65     6186.35     1512.76      618.28
1968     29     47622.85    12138.79    24623.16     7771.39     2128.52      960.99
1968     30     45036.05     9589.26    22670.65     8543.35     2728.46     1504.33
1968     31     37800.89     7327.92    18428.33     7731.91     2625.82     1686.92
1968     32     27517.54     4958.69    12655.32     6050.95     2208.18     1644.41
1968     33     19451.82     3293.38     8208.19     4564.70     1821.07     1564.49
1968     34     13584.80     2163.93     5115.53     3348.36     1485.51     1471.45
1968     35     12753.04     1968.99     4461.99     3194.87     1509.10     1618.08
1968     36     11395.90     1693.76     3614.92     2846.87     1449.22     1791.13
1968     37     10574.07     1550.69     3066.34     2588.29     1402.94     1965.82
1968     38      9664.09     1424.48     2584.17     2288.22     1309.20     2058.01
1968     39      8120.57     1215.68     2016.51     1841.77     1105.66     1940.94
1968     40      6046.81      915.00     1370.34     1321.50      835.06     1604.91
1968     41      4404.53      680.32      933.47      919.93      605.07     1265.74
1968     42      3006.08      471.49      592.41      571.68      394.66      975.84
1968     43      1948.32      304.26      353.81      327.34      237.70      725.22
1968     44      1161.10      175.67      193.03      170.48      130.01      491.92
1968     45       628.56       97.49       95.10       78.08       63.37      294.53
1968     46       330.40       43.33       47.72       40.50       33.88      164.97
1968     47       145.81       12.68       20.52       21.28       17.30       74.01
1968     48        64.25        3.37        8.65       11.86        9.09       31.28
1968     49        29.91        0.73        3.74        7.03        5.03       13.37
1968     50        15.62        0.00        2.29        4.48        2.84        6.01
1968     51         7.39        0.00        1.15        2.06        1.41        2.77
1968     52         4.69        0.00        0.78        1.05        0.93        1.93
1968     53         3.36        0.00        0.59        0.50        0.65        1.61
