Hungary, Period fertility tables, birth orders 1 to 5+
Last modified: 08/03/2022
Year     x       w0x       m1x       q1x     l0x    b1x     L0x   Sb1x       w1x       m2x       q2x    l1x    b2x     L1x   Sb2x       w2x       m3x       q3x    l2x    b3x     L2x   Sb3x       w3x       m4x       q4x    l3x    b4x     L3x   Sb4x       w4x      m5px      q5px    l4x   b5px     L4x  Sb5px
1970    12-  1.00000   0.00000   0.00000   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1970    13   0.99979   0.00000   0.00000   10000      0   10000      0   0.00020   0.00000   0.00000      0      0       0      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1970    14   0.99857   0.00177   0.00177   10000     18    9991      0   0.00130   0.17837   0.16377      0      2       9      0   0.00013   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1970    15   0.99510   0.00472   0.00471    9982     47    9959     18   0.00448   0.05643   0.05488     16      2      39      2   0.00041   0.02482   0.02452      2      0       2      0   0.00001         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1970    16   0.98568   0.01217   0.01210    9935    120    9875     65   0.01309   0.07582   0.07305     61      9     119      4   0.00116   0.03578   0.03515      4      0       6      0   0.00008   0.00000   0.00000      0      0       0      0   0.00000         .         .      0      0       0      0
1970    17   0.96114   0.03495   0.03435    9815    337    9647    185   0.03497   0.10424   0.09908    172     35     332     13   0.00364   0.06535   0.06328     13      1      21      0   0.00024   0.00000   0.00000      0      0       1      0   0.00001         .         .      0      0       0      0
1970    18   0.90900   0.07694   0.07409    9478    702    9127    522   0.08058   0.10490   0.09967    475     84     802     47   0.00943   0.09401   0.08979     46      6      67      2   0.00088   0.08245   0.07919      2      0       4      0   0.00010   0.11711   0.11063      0      0       0      0
1970    19   0.82038   0.13250   0.12426    8776   1091    8230   1224   0.15548   0.11288   0.10685   1093    178    1580    132   0.02140   0.10705   0.10161    124     19     176      8   0.00234   0.15074   0.14018      8      2      13      0   0.00040   0.02925   0.02883      0      0       1      0
1970    20   0.70765   0.17739   0.16294    7685   1252    7059   2315   0.24403   0.13173   0.12359   2005    330    2507    310   0.04207   0.10751   0.10203    283     42     393     27   0.00504   0.18238   0.16714     24      7      37      2   0.00121   0.09723   0.09272      2      0       4      0
1970    21   0.59762   0.19615   0.17863    6433   1149    5858   3567   0.32113   0.13185   0.12370   2927    438    3320    640   0.06983   0.09929   0.09459    571     72     725     69   0.00906   0.19130   0.17460     60     16      82      9   0.00237   0.21149   0.19126      9      3      14      0
1970    22   0.50008   0.20234   0.18375    5284    971    4798   4716   0.37721   0.14295   0.13342   3638    555    3881   1078   0.10505   0.08525   0.08177    937     97    1141    141   0.01384   0.15951   0.14773    116     23     146     25   0.00382   0.21042   0.19039     25      7      33      3
1970    23   0.42060   0.19682   0.17919    4313    773    3927   5687   0.40930   0.14335   0.13377   4054    598    4170   1633   0.14364   0.06944   0.06711   1394    112    1619    238   0.02000   0.16266   0.15042    190     36     223     48   0.00645   0.17569   0.16150     48     11      62     10
1970    24   0.34878   0.19378   0.17667    3540    625    3227   6460   0.42609   0.14320   0.13363   4229    610    4260   2230   0.18774   0.06513   0.06307   1880    137    2103    351   0.02745   0.14259   0.13310    266     44     308     84   0.00993   0.21147   0.19125     84     22     102     21
1970    25   0.28596   0.18661   0.17069    2915    498    2666   7085   0.42885   0.14832   0.13808   4245    623    4201   2840   0.23580   0.05029   0.04905   2353    130    2588    488   0.03497   0.12163   0.11466    360     48     397    128   0.01443   0.23791   0.21262    128     35     149     43
1970    26   0.24227   0.16824   0.15519    2417    375    2230   7583   0.41809   0.14599   0.13606   4119    588    4027   3463   0.27704   0.04679   0.04572   2846    143    3061    618   0.04364   0.11214   0.10619    441     54     483    176   0.01896   0.21007   0.19010    176     42     200     78
1970    27   0.20918   0.15095   0.14036    2042    287    1899   7958   0.40325   0.13941   0.13032   3907    529    3795   4051   0.31110   0.04313   0.04222   3290    150    3475    761   0.05303   0.08684   0.08322    530     50     578    231   0.02344   0.19528   0.17791    231     49     253    120
1970    28   0.18369   0.12537   0.11797    1755    207    1652   8245   0.38342   0.12622   0.11873   3664    448    3550   4580   0.33972   0.04074   0.03992   3670    155    3814    911   0.06309   0.07719   0.07432    630     52     680    281   0.03008   0.19436   0.17715    281     59     304    170
1970    29   0.16196   0.10531   0.10005    1548    155    1471   8452   0.36365   0.11271   0.10670   3423    374    3318   5029   0.36292   0.03710   0.03643   3962    151    4073   1066   0.07482   0.05437   0.05293    733     43     786    333   0.03666   0.16071   0.14876    333     57     353    229
1970    30   0.14685   0.08929   0.08547    1393    119    1334   8607   0.34629   0.09468   0.09040   3204    295    3119   5402   0.37925   0.03476   0.03417   4185    148    4258   1217   0.08422   0.05544   0.05395    841     49     890    376   0.04339   0.14009   0.13092    376     56     399    285
1970    31   0.13526   0.07121   0.06876    1274     88    1231   8726   0.32888   0.08514   0.08166   3028    251    2948   5698   0.39236   0.02996   0.02952   4332    132    4392   1365   0.09321   0.04958   0.04838    940     49     981    425   0.05029   0.14444   0.13471    425     65     448    341
1970    32   0.12448   0.05947   0.05775    1187     69    1152   8813   0.31482   0.06743   0.06523   2865    189    2805   5949   0.39993   0.02446   0.02417   4452    110    4491   1497   0.10352   0.04252   0.04163   1023     45    1056    474   0.05725   0.13310   0.12479    474     66     495    406
1970    33   0.11780   0.05144   0.05015    1118     56    1090   8882   0.30503   0.05194   0.05062   2744    140    2702   6138   0.40088   0.02102   0.02080   4531     96    4553   1607   0.11211   0.03139   0.03090   1088     35    1118    519   0.06418   0.11602   0.10965    519     62     536    472
1970    34   0.11328   0.04095   0.04013    1062     43    1041   8938   0.29770   0.04235   0.04147   2660    111    2626   6278   0.40288   0.01853   0.01836   4576     85    4589   1703   0.11757   0.03082   0.03035   1149     36    1173    554   0.06856   0.09796   0.09338    554     56     571    534
1970    35   0.10978   0.03302   0.03248    1019     33    1003   8981   0.28911   0.03016   0.02971   2591     77    2569   6389   0.40321   0.01423   0.01413   4602     66    4608   1788   0.12444   0.02248   0.02223   1198     27    1217    590   0.07347   0.08820   0.08447    590     53     603    590
1970    36   0.10756   0.02092   0.02071     986     20     976   9014   0.27986   0.02055   0.02035   2547     52    2531   6467   0.39865   0.01104   0.01098   4614     51    4614   1853   0.13301   0.02358   0.02330   1236     29    1247    617   0.08092   0.07439   0.07172    617     47     632    643
1970    37   0.10462   0.02150   0.02127     966     21     956   9034   0.27125   0.01684   0.01670   2515     42    2504   6519   0.39671   0.00953   0.00949   4615     44    4614   1904   0.13877   0.01570   0.01558   1257     20    1269    647   0.08865   0.06312   0.06118    647     41     657    690
1970    38   0.10483   0.01678   0.01664     945     16     938   9055   0.26449   0.01063   0.01058   2493     26    2488   6561   0.39299   0.00719   0.00716   4613     33    4610   1948   0.14320   0.01190   0.01183   1281     15    1290    667   0.09449   0.05292   0.05156    667     36     674    732
1970    39   0.10971   0.01197   0.01190     930     11     924   9070   0.26028   0.00933   0.00929   2483     23    2477   6588   0.38347   0.00543   0.00542   4606     25    4605   1981   0.14663   0.00932   0.00928   1299     12    1306    682   0.09990   0.03971   0.03894    682     27     688    767
1970    40   0.11526   0.00874   0.00871     919      8     915   9081   0.25458   0.00512   0.00511   2471     13    2468   6611   0.37336   0.00320   0.00320   4604     15    4603   2006   0.15007   0.00761   0.00758   1312     10    1314    694   0.10674   0.03123   0.03075    694     22     699    795
1970    41   0.11916   0.00559   0.00558     911      5     908   9089   0.24789   0.00285   0.00285   2466      7    2465   6623   0.36446   0.00230   0.00230   4602     11    4601   2021   0.15376   0.00485   0.00484   1317      6    1319    704   0.11473   0.02138   0.02115    704     15     707    817
1970    42   0.12464   0.00360   0.00360     906      3     904   9094   0.24296   0.00235   0.00235   2464      6    2463   6630   0.35498   0.00184   0.00184   4599      8    4597   2032   0.15588   0.00306   0.00305   1321      4    1323    711   0.12154   0.01669   0.01655    711     12     713    832
1970    43   0.13138   0.00201   0.00201     902      2     901   9098   0.23963   0.00138   0.00138   2462      3    2461   6636   0.34535   0.00107   0.00107   4596      5    4595   2040   0.15675   0.00211   0.00211   1325      3    1326    715   0.12688   0.01073   0.01067    715      8     716    844
1970    44   0.13610   0.00141   0.00141     900      1     900   9100   0.23752   0.00070   0.00070   2460      2    2460   6640   0.33549   0.00050   0.00050   4595      2    4594   2045   0.15788   0.00097   0.00097   1327      1    1328    718   0.13301   0.00461   0.00460    718      3     718    851
1970    45   0.14023   0.00038   0.00038     899      0     899   9101   0.23585   0.00028   0.00028   2460      1    2459   6641   0.32591   0.00037   0.00037   4594      2    4594   2047   0.16002   0.00084   0.00084   1328      1    1329    719   0.13798   0.00272   0.00271    719      2     719    855
1970    46   0.14283   0.00066   0.00066     899      1     899   9101   0.23321   0.00011   0.00011   2459      0    2459   6642   0.31725   0.00013   0.00013   4593      1    4593   2049   0.16209   0.00008   0.00008   1329      0    1329    720   0.14462   0.00111   0.00111    720      1     720    856
1970    47   0.14536   0.00000   0.00000     898      0     898   9102   0.23046   0.00006   0.00006   2459      0    2459   6642   0.31068   0.00000   0.00000   4593      0    4593   2050   0.16108   0.00016   0.00016   1330      0    1329    720   0.15242   0.00050   0.00050    720      0     720    857
1970    48   0.14753   0.00008   0.00008     898      0     898   9102   0.22864   0.00000   0.00000   2459      0    2459   6642   0.30371   0.00000   0.00000   4593      0    4593   2050   0.16014   0.00008   0.00008   1329      0    1329    720   0.15998   0.00031   0.00031    720      0     720    858
1970    49   0.14866   0.00009   0.00009     898      0     898   9102   0.22875   0.00000   0.00000   2459      0    2459   6642   0.29605   0.00000   0.00000   4593      0    4593   2050   0.15977   0.00008   0.00008   1329      0    1329    720   0.16677   0.00008   0.00008    720      0     720    858
1970    50   0.14928   0.00000   0.00000     898      0     898   9102   0.22926   0.00000   0.00000   2459      0    2459   6642   0.29387   0.00000   0.00000   4593      0    4593   2050   0.15871   0.00000   0.00000   1329      0    1329    720   0.16888   0.00000   0.00000    720      0     720    858
1970    51   0.15547   0.00000   0.00000     898      0     898   9102   0.22736   0.00009   0.00009   2459      0    2459   6642   0.28875   0.00000   0.00000   4593      0    4593   2050   0.15747   0.00000   0.00000   1329      0    1329    720   0.17094   0.00000   0.00000    720      0     720    858
1970    52   0.16162   0.00017   0.00017     898      0     898   9102   0.22536   0.00000   0.00000   2459      0    2459   6643   0.28373   0.00000   0.00000   4593      0    4593   2050   0.15633   0.00017   0.00017   1329      0    1329    720   0.17297   0.00000   0.00000    720      0     721    858
1970    53   0.16162   0.00000   0.00000     898      0     898   9102   0.22536   0.00024   0.00024   2459      1    2459   6643   0.28373   0.00000   0.00000   4593      0    4593   2050   0.15633   0.00000   0.00000   1329      0    1329    721   0.17297   0.00000   0.00000    721      0     721    858
1970    54   0.16162   0.00014   0.00014     898      0     898   9102   0.22536   0.00000   0.00000   2459      0    2459   6643   0.28373   0.00000   0.00000   4594      0    4594   2050   0.15633   0.00000   0.00000   1329      0    1329    721   0.17297   0.00000   0.00000    721      0     721    858
1970    55+  0.16162   0.00010   0.00010     898      0     898   9102   0.22536   0.00007   0.00007   2459      0    2459   6643   0.28373   0.00000   0.00000   4594      0    4594   2050   0.15633   0.00000   0.00000   1329      0    1329    721   0.17297   0.00000   0.00000    721      0     721    858
1971    12-  1.00000   0.00004   0.00004   10000      0   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1971    13   0.99982   0.00048   0.00048   10000      5    9997      0   0.00018   0.00000   0.00000      0      0       3      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1971    14   0.99869   0.00161   0.00161    9995     16    9987      5   0.00127   0.06831   0.06605      5      1      13      0   0.00005         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1971    15   0.99508   0.00548   0.00546    9979     55    9951     21   0.00464   0.05484   0.05337     20      3      47      1   0.00028   0.00000   0.00000      1      0       1      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1971    16   0.98575   0.01481   0.01470    9924    146    9851     76   0.01321   0.08363   0.08027     72     12     142      3   0.00101   0.07033   0.06794      3      0       6      0   0.00004         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1971    17   0.96232   0.03498   0.03438    9778    336    9610    222   0.03438   0.08608   0.08253    206     31     366     15   0.00303   0.11630   0.10990     15      3      23      0   0.00026   0.07905   0.07604      0      0       1      0   0.00001         .         .      0      0       0      0
1971    18   0.90978   0.07495   0.07224    9442    682    9101    558   0.08073   0.09541   0.09106    511     79     829     47   0.00861   0.12519   0.11782     44      8      64      3   0.00084   0.06791   0.06568      3      0       5      0   0.00004         .         .      0      0       0      0
1971    19   0.82038   0.13125   0.12316    8760   1079    8220   1240   0.15623   0.11319   0.10713   1114    180    1594    126   0.02070   0.13393   0.12552    115     22     167     11   0.00238   0.14303   0.13349     11      2      17      0   0.00031   0.15884   0.14715      0      0       1      0
1971    20   0.70591   0.17492   0.16085    7681   1235    7063   2319   0.24520   0.12950   0.12163   2013    325    2508    306   0.04268   0.10169   0.09677    273     39     382     34   0.00523   0.16189   0.14977     31      7      42      3   0.00098   0.14357   0.13396      3      1       5      0
1971    21   0.59012   0.19426   0.17706    6446   1141    5875   3554   0.32416   0.13650   0.12778   2923    451    3307    631   0.07358   0.09956   0.09484    559     72     719     72   0.00961   0.17914   0.16442     63     15      84     10   0.00253   0.18166   0.16653     10      3      15      1
1971    22   0.49107   0.20092   0.18257    5304    968    4820   4696   0.37924   0.14394   0.13428   3613    555    3855   1083   0.11011   0.08103   0.07788    939     93    1145    144   0.01527   0.14731   0.13721    119     22     148     25   0.00431   0.23826   0.21290     25      8      33      4
1971    23   0.41043   0.19063   0.17404    4336    755    3959   5664   0.41065   0.14497   0.13518   4027    599    4132   1637   0.15177   0.06746   0.06526   1401    110    1627    237   0.02064   0.17343   0.15959    190     38     221     46   0.00652   0.22172   0.19959     46     14      62     11
1971    24   0.34794   0.18290   0.16758    3581    600    3281   6419   0.42227   0.14603   0.13609   4182    613    4198   2236   0.19279   0.05868   0.05701   1890    124    2121    347   0.02707   0.12929   0.12144    262     39     300     85   0.00993   0.20845   0.18877     85     21     101     25
1971    25   0.29033   0.17027   0.15691    2981    468    2747   7019   0.42360   0.14204   0.13262   4169    586    4127   2849   0.23693   0.05751   0.05590   2378    149    2588    471   0.03547   0.11056   0.10477    347     44     396    124   0.01367   0.21377   0.19313    124     30     142     46
1971    26   0.24053   0.15544   0.14423    2513    363    2332   7487   0.41409   0.14024   0.13105   4051    556    3967   3436   0.28398   0.04430   0.04334   2816    134    3020    620   0.04287   0.09625   0.09183    453     47     493    167   0.01853   0.20883   0.18909    167     39     188     76
1971    27   0.20711   0.14648   0.13648    2151    294    2004   7849   0.39650   0.13600   0.12734   3857    511    3758   3992   0.32156   0.04040   0.03960   3238    138    3420    754   0.05151   0.08323   0.07991    539     48     582    215   0.02331   0.21352   0.19292    215     50     236    116
1971    28   0.18232   0.12715   0.11955    1857    222    1746   8143   0.37940   0.12507   0.11771   3640    442    3536   4503   0.34862   0.03874   0.03800   3611    146    3757    892   0.06185   0.07012   0.06775    629     47     676    263   0.02780   0.16194   0.14981    263     46     284    166
1971    29   0.16364   0.10068   0.09586    1635    157    1557   8365   0.35967   0.10912   0.10348   3419    362    3321   4945   0.37065   0.03367   0.03312   3908    135    4020   1037   0.07166   0.06344   0.06149    727     49     769    310   0.03438   0.16548   0.15284    310     55     333    212
1971    30   0.14698   0.08435   0.08094    1478    120    1419   8522   0.34223   0.09432   0.09007   3214    295    3129   5308   0.38677   0.03049   0.03004   4135    129    4218   1173   0.08285   0.05440   0.05295    813     46     854    359   0.04117   0.14767   0.13752    359     56     381    267
1971    31   0.13578   0.07368   0.07106    1359     97    1311   8641   0.32767   0.08037   0.07727   3038    239    2969   5603   0.39714   0.02691   0.02656   4302    117    4362   1301   0.09149   0.04922   0.04804    896     46     931    406   0.04792   0.13890   0.12988    406     59     427    323
1971    32   0.12668   0.06140   0.05957    1262     75    1225   8738   0.31335   0.06413   0.06214   2896    182    2844   5842   0.40627   0.02495   0.02464   4423    111    4458   1419   0.09914   0.04127   0.04044    967     41    1002    452   0.05455   0.13198   0.12381    452     62     471    383
1971    33   0.11782   0.04745   0.04635    1187     55    1160   8813   0.30297   0.05155   0.05025   2789    142    2746   6024   0.40936   0.01987   0.01967   4494     90    4520   1530   0.10873   0.03508   0.03447   1037     37    1063    493   0.06113   0.12006   0.11326    493     61     511    445
1971    34   0.11267   0.03840   0.03767    1132     43    1111   8868   0.29638   0.03960   0.03883   2702    106    2671   6165   0.40664   0.01761   0.01746   4546     80    4559   1620   0.11641   0.03139   0.03090   1089     35    1112    530   0.06790   0.10311   0.09805    530     56     547    506
1971    35   0.10927   0.03037   0.02991    1089     33    1073   8911   0.29164   0.02862   0.02822   2639     75    2618   6271   0.40659   0.01346   0.01337   4571     62    4578   1700   0.12056   0.02447   0.02417   1135     28    1152    565   0.07194   0.09062   0.08669    565     52     579    563
1971    36   0.10689   0.02380   0.02352    1057     25    1044   8943   0.28486   0.02223   0.02198   2597     57    2581   6346   0.40542   0.01107   0.01101   4585     51    4588   1762   0.12641   0.02363   0.02335   1168     28    1180    593   0.07642   0.08379   0.08042    593     51     607    615
1971    37   0.10545   0.01749   0.01734    1032     18    1023   8968   0.27693   0.01343   0.01334   2564     34    2556   6404   0.39956   0.00909   0.00905   4591     42    4587   1812   0.13445   0.01550   0.01538   1191     19    1203    621   0.08361   0.05946   0.05774    621     37     630    666
1971    38   0.10287   0.01642   0.01629    1014     17    1006   8986   0.26955   0.01029   0.01024   2548     26    2543   6438   0.39699   0.00653   0.00650   4584     30    4582   1854   0.13992   0.01379   0.01369   1214     17    1221    640   0.09066   0.05280   0.05144    640     34     648    704
1971    39   0.10344   0.01100   0.01094     998     11     992   9002   0.26334   0.00801   0.00798   2538     20    2534   6464   0.39323   0.00497   0.00496   4580     23    4579   1884   0.14400   0.00906   0.00901   1227     11    1233    657   0.09599   0.04711   0.04603    657     31     662    738
1971    40   0.10863   0.00820   0.00816     987      8     983   9013   0.25950   0.00517   0.00516   2529     13    2527   6484   0.38374   0.00332   0.00332   4578     15    4576   1907   0.14705   0.00768   0.00765   1239     10    1242    668   0.10108   0.03195   0.03145    668     21     673    769
1971    41   0.11448   0.00553   0.00551     979      5     976   9021   0.25429   0.00371   0.00370   2524      9    2522   6497   0.37338   0.00252   0.00252   4575     12    4574   1922   0.15024   0.00332   0.00331   1245      4    1248    677   0.10761   0.02177   0.02154    677     15     679    790
1971    42   0.11864   0.00383   0.00382     973      4     971   9027   0.24771   0.00189   0.00189   2520      5    2520   6507   0.36444   0.00103   0.00103   4573      5    4573   1934   0.15391   0.00234   0.00234   1252      3    1253    682   0.11530   0.01413   0.01403    682     10     683    805
1971    43   0.12426   0.00231   0.00230     969      2     968   9031   0.24288   0.00124   0.00124   2519      3    2519   6511   0.35496   0.00092   0.00092   4573      4    4573   1938   0.15596   0.00184   0.00184   1254      2    1255    684   0.12194   0.01041   0.01035    684      7     686    815
1971    44   0.13115   0.00121   0.00121     967      1     967   9033   0.23961   0.00061   0.00061   2518      2    2518   6515   0.34536   0.00042   0.00042   4572      2    4572   1942   0.15678   0.00101   0.00101   1256      1    1256    687   0.12710   0.00553   0.00551    687      4     687    822
1971    45   0.13598   0.00047   0.00047     966      0     966   9034   0.23753   0.00032   0.00032   2518      1    2518   6516   0.33548   0.00023   0.00023   4572      1    4572   1944   0.15788   0.00097   0.00097   1256      1    1256    688   0.13313   0.00231   0.00231    688      2     689    826
1971    46   0.14018   0.00000   0.00000     966      0     966   9034   0.23587   0.00017   0.00017   2517      0    2517   6517   0.32590   0.00000   0.00000   4572      0    4572   1945   0.15999   0.00017   0.00017   1256      0    1256    689   0.13806   0.00126   0.00126    689      1     689    827
1971    47   0.14280   0.00019   0.00019     966      0     966   9034   0.23321   0.00012   0.00012   2517      0    2517   6517   0.31727   0.00008   0.00008   4572      0    4572   1945   0.16207   0.00017   0.00017   1256      0    1256    689   0.14465   0.00046   0.00046    689      0     690    828
1971    48   0.14534   0.00000   0.00000     965      0     965   9035   0.23046   0.00000   0.00000   2517      0    2517   6518   0.31069   0.00004   0.00004   4572      0    4572   1946   0.16106   0.00008   0.00008   1256      0    1256    690   0.15244   0.00008   0.00008    690      0     690    829
1971    49   0.14753   0.00008   0.00008     965      0     965   9035   0.22864   0.00000   0.00000   2517      0    2517   6518   0.30371   0.00000   0.00000   4572      0    4572   1946   0.16013   0.00000   0.00000   1256      0    1256    690   0.15999   0.00016   0.00016    690      0     690    829
1971    50   0.14866   0.00009   0.00009     965      0     965   9035   0.22875   0.00000   0.00000   2517      0    2517   6518   0.29605   0.00000   0.00000   4572      0    4572   1946   0.15976   0.00000   0.00000   1256      0    1256    690   0.16678   0.00008   0.00008    690      0     690    829
1971    51   0.14928   0.00000   0.00000     965      0     965   9035   0.22926   0.00000   0.00000   2517      0    2517   6518   0.29387   0.00000   0.00000   4572      0    4572   1946   0.15871   0.00000   0.00000   1256      0    1256    690   0.16888   0.00000   0.00000    690      0     690    829
1971    52   0.15545   0.00014   0.00014     965      0     965   9035   0.22739   0.00000   0.00000   2517      0    2517   6518   0.28875   0.00000   0.00000   4572      0    4572   1946   0.15747   0.00000   0.00000   1256      0    1256    690   0.17094   0.00000   0.00000    690      0     690    829
1971    53   0.16159   0.00017   0.00017     965      0     965   9035   0.22536   0.00000   0.00000   2517      0    2517   6518   0.28376   0.00000   0.00000   4572      0    4572   1946   0.15633   0.00000   0.00000   1256      0    1256    690   0.17297   0.00000   0.00000    690      0     690    829
1971    54   0.16162   0.00000   0.00000     965      0     965   9035   0.22533   0.00000   0.00000   2517      0    2517   6518   0.28374   0.00010   0.00010   4572      0    4571   1946   0.15634   0.00000   0.00000   1256      0    1256    690   0.17297   0.00016   0.00016    690      0     690    829
1971    55+  0.16162   0.00000   0.00000     965      0     965   9035   0.22536   0.00000   0.00000   2517      0    2517   6518   0.28370   0.00000   0.00000   4571      0    4571   1946   0.15635   0.00000   0.00000   1257      0    1257    690   0.17297   0.00000   0.00000    690      0     690    829
1972    12-  1.00000   0.00009   0.00009   10000      1   10000      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1972    13   0.99978   0.00048   0.00048    9999      5    9997      1   0.00022   0.06510   0.06305      1      0       3      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1972    14   0.99886   0.00160   0.00160    9994     16    9986      6   0.00108   0.04935   0.04816      5      1      13      0   0.00006         .         .      0      0       0      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1972    15   0.99514   0.00619   0.00617    9978     62    9948     22   0.00464   0.08281   0.07952     21      4      51      1   0.00022   0.11277   0.10675      1      0       2      0   0.00000         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1972    16   0.98495   0.01594   0.01582    9917    157    9838     83   0.01401   0.10030   0.09551     78     15     153      5   0.00099   0.07821   0.07526      5      1       8      0   0.00005         .         .      0      0       0      0   0.00000         .         .      0      0       0      0
1972    17   0.96058   0.03744   0.03675    9760    359    9581    240   0.03606   0.10041   0.09561    220     39     388     20   0.00314   0.09367   0.08947     20      3      29      1   0.00021   0.00000   0.00000      1      0       2      0   0.00001         .         .      0      0       0      0
1972    18   0.91160   0.07137   0.06891    9401    648    9077    599   0.07980   0.09455   0.09028    539     79     839     59   0.00774   0.10573   0.10042     56      8      77      4   0.00081   0.08964   0.08580      4      1       6      0   0.00005         .         .      0      0       0      0
1972    19   0.82319   0.12988   0.12196    8753   1068    8220   1247   0.15501   0.11468   0.10846   1108    181    1582    139   0.01914   0.11934   0.11262    127     21     180     12   0.00241   0.14137   0.13204     11      2      18      1   0.00024   0.13947   0.13038      1      0       1      0
1972    20   0.70491   0.17097   0.15750    7686   1211    7081   2314   0.24751   0.12922   0.12138   1994    320    2478    320   0.04136   0.11160   0.10570    287     44     393     33   0.00533   0.16215   0.14999     30      7      43      3   0.00089   0.23385   0.20937      3      1       5      0
1972    21   0.58709   0.19374   0.17663    6475   1144    5903   3525   0.32623   0.14015   0.13097   2884    458    3267    640   0.07491   0.09085   0.08690    563     66     728     77   0.00950   0.17471   0.16067     67     15      86     10   0.00227   0.19700   0.17933     10      3      15      1
1972    22   0.48414   0.20061   0.18232    5332    972    4846   4668   0.37985   0.14640   0.13641   3570    558    3813   1098   0.11590   0.08491   0.08145    955     98    1160    143   0.01528   0.19951   0.18141    118     29     146     25   0.00483   0.17861   0.16396     25      6      36      4
1972    23   0.40365   0.19088   0.17425    4360    760    3980   5640   0.40795   0.15454   0.14346   3984    630    4078   1656   0.15909   0.07178   0.06929   1415    119    1652    242   0.02173   0.16225   0.15008    187     36     222     54   0.00758   0.17266   0.15894     54     12      68     11
1972    24   0.34034   0.18548   0.16974    3600    611    3294   6400   0.41889   0.15344   0.14250   4113    633    4126   2287   0.20276   0.06069   0.05891   1926    131    2163    360   0.02806   0.12017   0.11336    270     37     311     90   0.00996   0.22369   0.20119     90     24     106     23
1972    25   0.29110   0.17775   0.16324    2989    488    2745   7011   0.41748   0.15031   0.13981   4091    609    4049   2920   0.24231   0.05007   0.04885   2428    133    2655    491   0.03552   0.11864   0.11200    364     48     403    128   0.01360   0.22226   0.20003    128     33     148     46
1972    26   0.24664   0.15287   0.14202    2501    355    2323   7499   0.40723   0.14529   0.13545   3971    564    3879   3528   0.28393   0.04492   0.04394   2904    140    3109    624   0.04421   0.10567   0.10037    449     52     490    176   0.01799   0.20737   0.18789    176     41     198     79
1972    27   0.20733   0.13851   0.12954    2146    278    2007   7854   0.39034   0.14284   0.13332   3762    521    3650   4092   0.32762   0.04160   0.04075   3328    146    3511    764   0.05193   0.08089   0.07775    537     47     584    227   0.02279   0.17960   0.16480    227     45     248    120
1972    28   0.18119   0.12005   0.11325    1868    212    1762   8132   0.37150   0.12968   0.12178   3519    442    3410   4613   0.35955   0.03662   0.03596   3703    141    3851    910   0.06018   0.07046   0.06807    636     48     681    275   0.02757   0.19262   0.17570    275     57     296    165
1972    29   0.16289   0.09967   0.09494    1656    157    1578   8344   0.35560   0.11435   0.10817   3288    365    3189   5056   0.37939   0.03388   0.03331   4005    139    4116   1051   0.07003   0.05359   0.05219    729     42     776    322   0.03209   0.16365   0.15127    322     56     341    222
1972    30   0.14909   0.08235   0.07910    1499    119    1440   8501   0.33832   0.09460   0.09033   3081    284    3001   5420   0.39457   0.02860   0.02820   4230    123    4309   1191   0.07942   0.05454   0.05309    826     47     864    364   0.03860   0.15940   0.14763    364     62     386    278
1972    31   0.13561   0.07109   0.06865    1380     95    1333   8620   0.32475   0.07733   0.07446   2915    221    2854   5704   0.40441   0.02707   0.02671   4390    120    4440   1314   0.08992   0.04204   0.04118    903     40     943    411   0.04532   0.13024   0.12227    411     56     430    339
1972    32   0.12708   0.05805   0.05641    1286     73    1249   8714   0.31402   0.06484   0.06280   2789    178    2738   5925   0.40927   0.02367   0.02339   4491    107    4526   1434   0.09791   0.03920   0.03845    983     40    1017    451   0.05172   0.11532   0.10903    451     54     470    395
1972    33   0.12014   0.04771   0.04659    1213     57    1185   8787   0.30288   0.04807   0.04694   2684    127    2650   6102   0.41467   0.01990   0.01970   4561     91    4579   1541   0.10399   0.03716   0.03648   1050     40    1076    491   0.05831   0.11616   0.10978    491     59     510    449
