Hungary, Cumulative period fertility rates by birth order (Lexis squares)
Last modified: 08/03/2022
Year    Age     CPFR     CPFR1     CPFR2     CPFR3     CPFR4    CPFR5p
1952    12     0.000     0.000     0.000     0.000     0.000     0.000
1952    13     0.000     0.000     0.000     0.000     0.000     0.000
1952    14     0.000     0.000     0.000     0.000     0.000     0.000
1952    15     0.001     0.001     0.000     0.000     0.000     0.000
1952    16     0.004     0.004     0.000     0.000     0.000     0.000
1952    17     0.016     0.015     0.001     0.000     0.000     0.000
1952    18     0.050     0.047     0.003     0.000     0.000     0.000
1952    19     0.122     0.109     0.013     0.001     0.000     0.000
1952    20     0.239     0.200     0.034     0.004     0.000     0.000
1952    21     0.388     0.305     0.070     0.011     0.001     0.000
1952    22     0.552     0.410     0.115     0.023     0.004     0.001
1952    23     0.725     0.506     0.171     0.039     0.007     0.002
1952    24     0.896     0.589     0.229     0.061     0.014     0.003
1952    25     1.065     0.659     0.291     0.086     0.023     0.007
1952    26     1.222     0.717     0.347     0.113     0.034     0.012
1952    27     1.370     0.764     0.401     0.140     0.047     0.019
1952    28     1.505     0.802     0.448     0.166     0.060     0.028
1952    29     1.630     0.834     0.490     0.192     0.075     0.039
1952    30     1.744     0.859     0.527     0.216     0.088     0.053
1952    31     1.845     0.879     0.558     0.237     0.101     0.070
1952    32     1.933     0.893     0.581     0.256     0.114     0.088
1952    33     2.013     0.906     0.601     0.273     0.125     0.108
1952    34     2.089     0.916     0.618     0.288     0.137     0.130
1952    35     2.153     0.925     0.632     0.299     0.147     0.151
1952    36     2.215     0.933     0.642     0.312     0.156     0.172
1952    37     2.264     0.938     0.652     0.320     0.162     0.192
1952    38     2.310     0.943     0.658     0.327     0.168     0.214
1952    39     2.349     0.946     0.664     0.333     0.174     0.232
1952    40     2.382     0.949     0.668     0.337     0.178     0.250
1952    41     2.408     0.952     0.671     0.341     0.181     0.264
1952    42     2.431     0.953     0.673     0.343     0.184     0.278
1952    43     2.446     0.954     0.675     0.345     0.185     0.287
1952    44     2.456     0.955     0.675     0.345     0.186     0.294
1952    45     2.462     0.955     0.676     0.346     0.187     0.299
1952    46     2.465     0.955     0.676     0.346     0.187     0.301
1952    47     2.467     0.956     0.676     0.346     0.187     0.302
1952    48     2.468     0.956     0.676     0.346     0.187     0.302
1952    49     2.468     0.956     0.676     0.346     0.187     0.303
1952    50     2.468     0.956     0.676     0.347     0.187     0.303
1952    51     2.468     0.956     0.676     0.347     0.187     0.303
1952    52     2.469     0.956     0.676     0.347     0.187     0.303
1952    53     2.469     0.956     0.676     0.347     0.187     0.303
1952    54     2.469     0.956     0.676     0.347     0.187     0.303
1952    55     2.469     0.956     0.676     0.347     0.187     0.303
1953    12     0.000     0.000     0.000     0.000     0.000     0.000
1953    13     0.000     0.000     0.000     0.000     0.000     0.000
1953    14     0.000     0.000     0.000     0.000     0.000     0.000
1953    15     0.001     0.001     0.000     0.000     0.000     0.000
1953    16     0.004     0.004     0.000     0.000     0.000     0.000
1953    17     0.017     0.017     0.001     0.000     0.000     0.000
1953    18     0.054     0.051     0.003     0.000     0.000     0.000
1953    19     0.127     0.114     0.012     0.001     0.000     0.000
1953    20     0.247     0.211     0.033     0.003     0.000     0.000
1953    21     0.407     0.325     0.070     0.010     0.001     0.000
1953    22     0.586     0.440     0.120     0.022     0.004     0.000
1953    23     0.773     0.543     0.180     0.040     0.008     0.001
1953    24     0.963     0.631     0.248     0.065     0.015     0.003
1953    25     1.144     0.704     0.315     0.094     0.025     0.007
1953    26     1.320     0.765     0.379     0.126     0.037     0.013
1953    27     1.484     0.815     0.439     0.158     0.051     0.021
1953    28     1.637     0.854     0.494     0.190     0.067     0.031
1953    29     1.776     0.886     0.541     0.222     0.084     0.044
1953    30     1.905     0.912     0.583     0.253     0.100     0.057
1953    31     2.024     0.934     0.620     0.280     0.116     0.075
1953    32     2.132     0.951     0.651     0.306     0.131     0.094
1953    33     2.229     0.966     0.675     0.328     0.145     0.115
1953    34     2.315     0.978     0.695     0.347     0.158     0.137
1953    35     2.392     0.986     0.712     0.363     0.170     0.161
1953    36     2.457     0.995     0.724     0.377     0.178     0.183
1953    37     2.520     1.002     0.736     0.389     0.188     0.206
1953    38     2.570     1.006     0.744     0.398     0.195     0.227
1953    39     2.618     1.011     0.752     0.405     0.202     0.249
1953    40     2.656     1.014     0.757     0.411     0.207     0.267
1953    41     2.686     1.017     0.760     0.416     0.211     0.283
1953    42     2.711     1.019     0.763     0.419     0.214     0.296
1953    43     2.728     1.020     0.765     0.421     0.216     0.306
1953    44     2.739     1.021     0.766     0.422     0.217     0.313
1953    45     2.746     1.022     0.767     0.423     0.218     0.317
1953    46     2.750     1.022     0.767     0.423     0.218     0.319
1953    47     2.751     1.022     0.767     0.424     0.218     0.321
1953    48     2.752     1.022     0.767     0.424     0.218     0.321
1953    49     2.752     1.022     0.767     0.424     0.218     0.321
1953    50     2.753     1.022     0.767     0.424     0.218     0.322
1953    51     2.753     1.022     0.767     0.424     0.218     0.322
1953    52     2.753     1.022     0.767     0.424     0.218     0.322
1953    53     2.753     1.022     0.767     0.424     0.218     0.322
1953    54     2.753     1.022     0.767     0.424     0.218     0.322
1953    55     2.753     1.022     0.767     0.424     0.218     0.322
1954    12     0.000     0.000     0.000     0.000     0.000     0.000
1954    13     0.000     0.000     0.000     0.000     0.000     0.000
1954    14     0.000     0.000     0.000     0.000     0.000     0.000
1954    15     0.001     0.001     0.000     0.000     0.000     0.000
1954    16     0.005     0.005     0.000     0.000     0.000     0.000
1954    17     0.019     0.018     0.001     0.000     0.000     0.000
1954    18     0.058     0.053     0.004     0.000     0.000     0.000
1954    19     0.136     0.120     0.014     0.001     0.000     0.000
1954    20     0.261     0.220     0.036     0.004     0.000     0.000
1954    21     0.431     0.340     0.078     0.012     0.001     0.000
1954    22     0.629     0.462     0.137     0.026     0.004     0.001
1954    23     0.836     0.572     0.208     0.046     0.009     0.002
1954    24     1.042     0.664     0.284     0.074     0.016     0.004
1954    25     1.239     0.738     0.359     0.105     0.028     0.008
1954    26     1.424     0.798     0.431     0.138     0.042     0.015
1954    27     1.602     0.846     0.499     0.174     0.058     0.025
1954    28     1.767     0.884     0.560     0.210     0.076     0.038
1954    29     1.922     0.915     0.614     0.245     0.094     0.052
1954    30     2.064     0.942     0.663     0.278     0.113     0.069
1954    31     2.196     0.963     0.705     0.309     0.131     0.089
1954    32     2.315     0.978     0.740     0.338     0.149     0.110
1954    33     2.419     0.992     0.768     0.363     0.164     0.133
1954    34     2.512     1.003     0.791     0.383     0.179     0.157
1954    35     2.595     1.012     0.809     0.401     0.192     0.181
1954    36     2.670     1.020     0.824     0.417     0.203     0.206
1954    37     2.732     1.026     0.837     0.429     0.212     0.228
1954    38     2.790     1.032     0.847     0.438     0.222     0.251
1954    39     2.836     1.036     0.853     0.447     0.228     0.271
1954    40     2.878     1.040     0.859     0.453     0.234     0.292
1954    41     2.910     1.042     0.863     0.458     0.238     0.308
1954    42     2.934     1.044     0.866     0.461     0.241     0.322
1954    43     2.950     1.045     0.868     0.463     0.242     0.332
1954    44     2.962     1.046     0.869     0.464     0.244     0.339
1954    45     2.968     1.046     0.870     0.465     0.245     0.343
1954    46     2.972     1.047     0.870     0.465     0.245     0.345
1954    47     2.974     1.047     0.870     0.466     0.245     0.346
1954    48     2.974     1.047     0.870     0.466     0.245     0.347
1954    49     2.975     1.047     0.870     0.466     0.245     0.347
1954    50     2.975     1.047     0.870     0.466     0.245     0.347
1954    51     2.975     1.047     0.870     0.466     0.245     0.347
1954    52     2.975     1.047     0.870     0.466     0.245     0.347
1954    53     2.975     1.047     0.870     0.466     0.245     0.347
1954    54     2.975     1.047     0.870     0.466     0.245     0.347
1954    55     2.975     1.047     0.870     0.466     0.245     0.347
1955    12     0.000     0.000     0.000     0.000     0.000     0.000
1955    13     0.000     0.000     0.000     0.000     0.000     0.000
1955    14     0.000     0.000     0.000     0.000     0.000     0.000
1955    15     0.001     0.001     0.000     0.000     0.000     0.000
1955    16     0.005     0.005     0.000     0.000     0.000     0.000
1955    17     0.020     0.019     0.001     0.000     0.000     0.000
1955    18     0.061     0.056     0.004     0.000     0.000     0.000
1955    19     0.145     0.130     0.014     0.001     0.000     0.000
1955    20     0.274     0.236     0.035     0.003     0.000     0.000
1955    21     0.444     0.360     0.073     0.009     0.001     0.000
1955    22     0.641     0.486     0.130     0.021     0.004     0.001
1955    23     0.846     0.597     0.198     0.041     0.008     0.002
1955    24     1.043     0.689     0.269     0.066     0.015     0.004
1955    25     1.232     0.764     0.341     0.094     0.025     0.008
1955    26     1.406     0.823     0.406     0.125     0.038     0.014
1955    27     1.570     0.868     0.469     0.157     0.053     0.022
1955    28     1.722     0.904     0.525     0.190     0.069     0.033
1955    29     1.859     0.932     0.574     0.220     0.085     0.048
1955    30     1.988     0.956     0.619     0.249     0.101     0.063
1955    31     2.105     0.975     0.657     0.276     0.116     0.080
1955    32     2.210     0.991     0.689     0.301     0.129     0.098
1955    33     2.307     1.005     0.718     0.323     0.143     0.119
1955    34     2.394     1.015     0.740     0.342     0.157     0.140
1955    35     2.470     1.023     0.759     0.358     0.169     0.162
1955    36     2.536     1.030     0.773     0.371     0.179     0.184
1955    37     2.594     1.036     0.784     0.382     0.188     0.204
1955    38     2.641     1.040     0.792     0.391     0.195     0.223
1955    39     2.684     1.044     0.799     0.399     0.201     0.241
1955    40     2.717     1.047     0.805     0.404     0.206     0.256
1955    41     2.749     1.049     0.808     0.409     0.210     0.272
1955    42     2.769     1.051     0.811     0.411     0.213     0.283
1955    43     2.785     1.051     0.813     0.413     0.215     0.293
1955    44     2.795     1.052     0.813     0.414     0.216     0.299
1955    45     2.801     1.052     0.814     0.415     0.217     0.304
1955    46     2.805     1.053     0.814     0.415     0.217     0.306
1955    47     2.807     1.053     0.814     0.415     0.217     0.307
1955    48     2.807     1.053     0.814     0.415     0.217     0.308
1955    49     2.807     1.053     0.814     0.415     0.217     0.308
1955    50     2.807     1.053     0.814     0.415     0.217     0.308
1955    51     2.808     1.053     0.814     0.415     0.217     0.308
1955    52     2.808     1.053     0.814     0.415     0.217     0.308
1955    53     2.808     1.053     0.814     0.415     0.217     0.308
1955    54     2.808     1.053     0.814     0.415     0.217     0.308
1955    55     2.808     1.053     0.814     0.415     0.217     0.308
1956    12     0.000     0.000     0.000     0.000     0.000     0.000
1956    13     0.000     0.000     0.000     0.000     0.000     0.000
1956    14     0.000     0.000     0.000     0.000     0.000     0.000
1956    15     0.001     0.001     0.000     0.000     0.000     0.000
1956    16     0.005     0.005     0.000     0.000     0.000     0.000
1956    17     0.021     0.020     0.001     0.000     0.000     0.000
1956    18     0.062     0.058     0.004     0.000     0.000     0.000
1956    19     0.146     0.130     0.015     0.001     0.000     0.000
1956    20     0.279     0.237     0.038     0.004     0.000     0.000
1956    21     0.448     0.360     0.077     0.010     0.001     0.000
1956    22     0.639     0.483     0.131     0.021     0.003     0.001
1956    23     0.837     0.591     0.196     0.040     0.007     0.002
1956    24     1.031     0.680     0.266     0.066     0.015     0.004
1956    25     1.211     0.752     0.334     0.093     0.024     0.008
1956    26     1.375     0.807     0.397     0.122     0.036     0.013
1956    27     1.527     0.851     0.453     0.151     0.049     0.022
1956    28     1.663     0.884     0.503     0.180     0.064     0.033
1956    29     1.785     0.911     0.545     0.206     0.078     0.045
1956    30     1.898     0.932     0.584     0.230     0.093     0.059
1956    31     2.000     0.948     0.617     0.253     0.106     0.075
1956    32     2.092     0.963     0.645     0.273     0.119     0.091
1956    33     2.177     0.976     0.668     0.293     0.131     0.109
1956    34     2.252     0.986     0.688     0.309     0.142     0.127
1956    35     2.318     0.994     0.703     0.323     0.153     0.145
1956    36     2.375     1.000     0.716     0.335     0.161     0.163
1956    37     2.425     1.005     0.726     0.344     0.169     0.180
1956    38     2.467     1.010     0.734     0.351     0.175     0.197
1956    39     2.503     1.014     0.741     0.357     0.180     0.211
1956    40     2.532     1.016     0.745     0.362     0.184     0.224
1956    41     2.553     1.018     0.748     0.365     0.187     0.235
1956    42     2.572     1.020     0.750     0.368     0.190     0.245
1956    43     2.585     1.021     0.751     0.370     0.191     0.253
1956    44     2.593     1.021     0.752     0.371     0.192     0.258
1956    45     2.598     1.021     0.753     0.371     0.192     0.261
1956    46     2.601     1.022     0.753     0.372     0.193     0.262
1956    47     2.602     1.022     0.753     0.372     0.193     0.263
1956    48     2.603     1.022     0.753     0.372     0.193     0.264
1956    49     2.603     1.022     0.753     0.372     0.193     0.264
1956    50     2.603     1.022     0.753     0.372     0.193     0.264
1956    51     2.603     1.022     0.753     0.372     0.193     0.264
1956    52     2.603     1.022     0.753     0.372     0.193     0.264
1956    53     2.603     1.022     0.753     0.372     0.193     0.264
1956    54     2.603     1.022     0.753     0.372     0.193     0.264
1956    55     2.603     1.022     0.753     0.372     0.193     0.264
1957    12     0.000     0.000     0.000     0.000     0.000     0.000
1957    13     0.000     0.000     0.000     0.000     0.000     0.000
1957    14     0.000     0.000     0.000     0.000     0.000     0.000
1957    15     0.001     0.001     0.000     0.000     0.000     0.000
1957    16     0.005     0.005     0.000     0.000     0.000     0.000
1957    17     0.020     0.019     0.001     0.000     0.000     0.000
1957    18     0.065     0.060     0.005     0.000     0.000     0.000
1957    19     0.150     0.134     0.015     0.001     0.000     0.000
1957    20     0.284     0.242     0.038     0.004     0.000     0.000
1957    21     0.451     0.366     0.075     0.009     0.001     0.000
1957    22     0.638     0.491     0.125     0.020     0.003     0.001
1957    23     0.824     0.598     0.183     0.035     0.006     0.001
1957    24     1.001     0.688     0.244     0.054     0.012     0.003
1957    25     1.159     0.756     0.302     0.075     0.020     0.006
1957    26     1.301     0.805     0.358     0.097     0.029     0.012
1957    27     1.431     0.845     0.408     0.120     0.039     0.018
1957    28     1.544     0.876     0.451     0.141     0.050     0.027
1957    29     1.647     0.899     0.490     0.161     0.060     0.037
1957    30     1.738     0.918     0.521     0.180     0.069     0.049
1957    31     1.822     0.934     0.548     0.197     0.079     0.063
1957    32     1.894     0.946     0.571     0.213     0.088     0.076
1957    33     1.960     0.955     0.591     0.227     0.097     0.090
1957    34     2.018     0.963     0.607     0.239     0.104     0.105
1957    35     2.072     0.970     0.621     0.249     0.111     0.120
1957    36     2.117     0.975     0.632     0.258     0.118     0.134
1957    37     2.156     0.980     0.640     0.265     0.123     0.148
1957    38     2.189     0.983     0.646     0.271     0.127     0.162
1957    39     2.217     0.986     0.651     0.275     0.131     0.174
1957    40     2.238     0.988     0.655     0.278     0.133     0.183
1957    41     2.256     0.990     0.657     0.281     0.136     0.193
1957    42     2.269     0.991     0.659     0.282     0.137     0.200
1957    43     2.279     0.992     0.660     0.283     0.138     0.206
1957    44     2.286     0.992     0.661     0.284     0.139     0.210
1957    45     2.291     0.993     0.661     0.285     0.139     0.213
1957    46     2.293     0.993     0.661     0.285     0.139     0.214
1957    47     2.294     0.993     0.661     0.285     0.140     0.215
1957    48     2.294     0.993     0.661     0.285     0.140     0.215
1957    49     2.294     0.993     0.661     0.285     0.140     0.216
1957    50     2.294     0.993     0.661     0.285     0.140     0.216
1957    51     2.294     0.993     0.661     0.285     0.140     0.216
1957    52     2.294     0.993     0.661     0.285     0.140     0.216
1957    53     2.294     0.993     0.661     0.285     0.140     0.216
1957    54     2.295     0.993     0.661     0.285     0.140     0.216
1957    55     2.295     0.993     0.661     0.285     0.140     0.216
1958    12     0.000     0.000     0.000     0.000     0.000     0.000
1958    13     0.000     0.000     0.000     0.000     0.000     0.000
1958    14     0.000     0.000     0.000     0.000     0.000     0.000
1958    15     0.001     0.001     0.000     0.000     0.000     0.000
1958    16     0.005     0.005     0.000     0.000     0.000     0.000
1958    17     0.020     0.019     0.001     0.000     0.000     0.000
1958    18     0.062     0.057     0.004     0.000     0.000     0.000
1958    19     0.148     0.132     0.015     0.001     0.000     0.000
1958    20     0.279     0.238     0.036     0.004     0.000     0.000
1958    21     0.443     0.362     0.070     0.010     0.001     0.000
1958    22     0.625     0.481     0.120     0.020     0.003     0.000
1958    23     0.804     0.587     0.176     0.034     0.006     0.001
1958    24     0.973     0.671     0.236     0.052     0.012     0.003
1958    25     1.128     0.736     0.296     0.072     0.019     0.005
1958    26     1.268     0.786     0.351     0.094     0.028     0.010
1958    27     1.391     0.823     0.402     0.114     0.036     0.016
1958    28     1.498     0.850     0.446     0.133     0.045     0.024
1958    29     1.596     0.873     0.484     0.151     0.054     0.034
1958    30     1.683     0.890     0.517     0.168     0.063     0.044
1958    31     1.761     0.904     0.544     0.185     0.072     0.056
1958    32     1.828     0.915     0.567     0.198     0.079     0.068
1958    33     1.888     0.925     0.584     0.210     0.087     0.081
1958    34     1.941     0.933     0.599     0.221     0.094     0.094
1958    35     1.988     0.940     0.612     0.230     0.100     0.106
1958    36     2.031     0.946     0.623     0.238     0.106     0.119
1958    37     2.064     0.950     0.630     0.244     0.110     0.130
1958    38     2.094     0.953     0.636     0.249     0.114     0.141
1958    39     2.118     0.956     0.641     0.253     0.117     0.152
1958    40     2.138     0.958     0.644     0.256     0.119     0.161
1958    41     2.155     0.960     0.646     0.259     0.121     0.169
1958    42     2.165     0.962     0.648     0.260     0.122     0.175
1958    43     2.173     0.962     0.648     0.261     0.123     0.179
1958    44     2.179     0.962     0.649     0.261     0.123     0.182
1958    45     2.182     0.963     0.649     0.262     0.124     0.185
1958    46     2.184     0.963     0.650     0.262     0.124     0.186
1958    47     2.185     0.963     0.650     0.262     0.124     0.187
1958    48     2.186     0.963     0.650     0.262     0.124     0.187
1958    49     2.186     0.963     0.650     0.262     0.124     0.187
1958    50     2.186     0.963     0.650     0.262     0.124     0.187
1958    51     2.186     0.963     0.650     0.262     0.124     0.187
1958    52     2.186     0.963     0.650     0.262     0.124     0.187
1958    53     2.186     0.963     0.650     0.262     0.124     0.188
1958    54     2.186     0.963     0.650     0.262     0.124     0.188
1958    55     2.186     0.963     0.650     0.262     0.124     0.188
1959    12     0.000     0.000     0.000     0.000     0.000     0.000
1959    13     0.000     0.000     0.000     0.000     0.000     0.000
1959    14     0.000     0.000     0.000     0.000     0.000     0.000
1959    15     0.001     0.001     0.000     0.000     0.000     0.000
1959    16     0.006     0.006     0.000     0.000     0.000     0.000
1959    17     0.021     0.020     0.001     0.000     0.000     0.000
1959    18     0.063     0.058     0.005     0.000     0.000     0.000
1959    19     0.145     0.130     0.014     0.001     0.000     0.000
1959    20     0.274     0.234     0.035     0.004     0.000     0.000
1959    21     0.433     0.353     0.069     0.010     0.001     0.000
1959    22     0.604     0.467     0.114     0.020     0.003     0.001
1959    23     0.778     0.567     0.169     0.034     0.007     0.001
1959    24     0.941     0.647     0.227     0.052     0.012     0.003
1959    25     1.088     0.709     0.284     0.071     0.019     0.006
1959    26     1.227     0.758     0.340     0.091     0.027     0.010
1959    27     1.346     0.794     0.388     0.111     0.036     0.016
1959    28     1.452     0.821     0.431     0.130     0.045     0.024
1959    29     1.544     0.842     0.467     0.148     0.054     0.033
1959    30     1.627     0.860     0.499     0.163     0.062     0.043
1959    31     1.700     0.873     0.524     0.177     0.070     0.055
1959    32     1.763     0.884     0.545     0.190     0.078     0.066
1959    33     1.818     0.892     0.562     0.201     0.084     0.079
1959    34     1.866     0.900     0.576     0.210     0.090     0.090
1959    35     1.910     0.906     0.588     0.219     0.095     0.102
1959    36     1.948     0.911     0.597     0.226     0.100     0.114
1959    37     1.980     0.915     0.604     0.232     0.105     0.125
1959    38     2.007     0.918     0.609     0.236     0.108     0.135
1959    39     2.029     0.921     0.613     0.240     0.110     0.144
1959    40     2.047     0.923     0.616     0.242     0.113     0.152
1959    41     2.059     0.924     0.618     0.244     0.114     0.159
1959    42     2.070     0.925     0.619     0.245     0.115     0.164
1959    43     2.078     0.926     0.621     0.246     0.116     0.169
1959    44     2.082     0.926     0.621     0.247     0.117     0.172
1959    45     2.086     0.926     0.621     0.247     0.117     0.174
1959    46     2.087     0.927     0.622     0.247     0.117     0.175
1959    47     2.088     0.927     0.622     0.247     0.117     0.176
1959    48     2.088     0.927     0.622     0.247     0.117     0.176
1959    49     2.088     0.927     0.622     0.247     0.117     0.176
1959    50     2.089     0.927     0.622     0.247     0.117     0.176
1959    51     2.089     0.927     0.622     0.247     0.117     0.176
1959    52     2.089     0.927     0.622     0.247     0.117     0.176
1959    53     2.089     0.927     0.622     0.247     0.117     0.176
1959    54     2.089     0.927     0.622     0.247     0.117     0.176
1959    55     2.089     0.927     0.622     0.247     0.117     0.176
1960    12     0.000     0.000     0.000     0.000     0.000     0.000
1960    13     0.000     0.000     0.000     0.000     0.000     0.000
1960    14     0.000     0.000     0.000     0.000     0.000     0.000
1960    15     0.001     0.001     0.000     0.000     0.000     0.000
1960    16     0.005     0.005     0.000     0.000     0.000     0.000
1960    17     0.021     0.020     0.001     0.000     0.000     0.000
1960    18     0.062     0.057     0.005     0.000     0.000     0.000
1960    19     0.143     0.127     0.014     0.001     0.000     0.000
1960    20     0.266     0.228     0.034     0.004     0.000     0.000
1960    21     0.420     0.342     0.067     0.010     0.001     0.000
1960    22     0.590     0.454     0.112     0.021     0.003     0.001
1960    23     0.758     0.550     0.165     0.035     0.007     0.001
1960    24     0.917     0.629     0.220     0.053     0.012     0.003
1960    25     1.066     0.691     0.276     0.074     0.018     0.006
1960    26     1.198     0.738     0.329     0.095     0.026     0.011
1960    27     1.319     0.772     0.377     0.116     0.035     0.017
1960    28     1.423     0.797     0.419     0.136     0.045     0.025
1960    29     1.513     0.818     0.454     0.154     0.053     0.034
1960    30     1.595     0.834     0.484     0.171     0.061     0.045
1960    31     1.664     0.846     0.507     0.187     0.069     0.055
1960    32     1.723     0.856     0.526     0.199     0.076     0.066
1960    33     1.776     0.865     0.542     0.209     0.082     0.077
1960    34     1.821     0.871     0.554     0.219     0.088     0.088
1960    35     1.860     0.877     0.565     0.227     0.092     0.099
1960    36     1.895     0.881     0.573     0.235     0.097     0.109
1960    37     1.926     0.886     0.580     0.240     0.101     0.119
1960    38     1.950     0.889     0.584     0.245     0.104     0.128
1960    39     1.970     0.892     0.588     0.248     0.106     0.137
1960    40     1.986     0.893     0.590     0.250     0.108     0.144
1960    41     1.999     0.894     0.592     0.252     0.110     0.150
1960    42     2.008     0.895     0.593     0.253     0.111     0.155
1960    43     2.014     0.896     0.594     0.254     0.111     0.159
1960    44     2.019     0.896     0.595     0.255     0.112     0.162
1960    45     2.021     0.896     0.595     0.255     0.112     0.163
1960    46     2.023     0.896     0.595     0.255     0.112     0.164
1960    47     2.023     0.896     0.595     0.255     0.112     0.164
1960    48     2.024     0.896     0.595     0.255     0.112     0.164
1960    49     2.024     0.896     0.595     0.255     0.112     0.165
1960    50     2.024     0.896     0.595     0.255     0.112     0.165
1960    51     2.024     0.896     0.595     0.255     0.112     0.165
1960    52     2.024     0.896     0.595     0.255     0.112     0.165
1960    53     2.024     0.896     0.595     0.255     0.112     0.165
1960    54     2.024     0.896     0.595     0.255     0.112     0.165
1960    55     2.024     0.896     0.595     0.255     0.112     0.165
1961    12     0.000     0.000     0.000     0.000     0.000     0.000
1961    13     0.000     0.000     0.000     0.000     0.000     0.000
1961    14     0.000     0.000     0.000     0.000     0.000     0.000
1961    15     0.001     0.001     0.000     0.000     0.000     0.000
1961    16     0.005     0.005     0.000     0.000     0.000     0.000
1961    17     0.020     0.019     0.001     0.000     0.000     0.000
1961    18     0.059     0.054     0.004     0.000     0.000     0.000
1961    19     0.137     0.122     0.013     0.001     0.000     0.000
1961    20     0.259     0.223     0.032     0.004     0.000     0.000
1961    21     0.406     0.333     0.061     0.010     0.001     0.000
1961    22     0.571     0.445     0.103     0.019     0.004     0.000
1961    23     0.733     0.539     0.152     0.032     0.008     0.001
1961    24     0.886     0.616     0.205     0.049     0.013     0.003
1961    25     1.030     0.677     0.259     0.068     0.020     0.007
1961    26     1.161     0.722     0.311     0.088     0.029     0.011
1961    27     1.273     0.756     0.357     0.106     0.037     0.017
1961    28     1.374     0.781     0.398     0.126     0.045     0.024
1961    29     1.462     0.799     0.433     0.144     0.054     0.033
1961    30     1.538     0.814     0.461     0.160     0.061     0.042
1961    31     1.603     0.826     0.485     0.174     0.067     0.051
1961    32     1.661     0.836     0.503     0.186     0.074     0.061
1961    33     1.709     0.844     0.518     0.197     0.079     0.072
1961    34     1.753     0.851     0.529     0.206     0.085     0.082
1961    35     1.789     0.856     0.539     0.213     0.089     0.092
1961    36     1.820     0.860     0.546     0.219     0.093     0.102
1961    37     1.846     0.864     0.552     0.223     0.096     0.110
1961    38     1.870     0.867     0.557     0.228     0.099     0.119
1961    39     1.889     0.869     0.560     0.231     0.102     0.127
1961    40     1.904     0.871     0.562     0.233     0.103     0.133
1961    41     1.915     0.873     0.564     0.235     0.105     0.139
1961    42     1.924     0.873     0.565     0.236     0.106     0.144
1961    43     1.931     0.874     0.566     0.237     0.106     0.147
1961    44     1.935     0.874     0.567     0.237     0.107     0.150
1961    45     1.937     0.875     0.567     0.238     0.107     0.151
1961    46     1.938     0.875     0.567     0.238     0.107     0.152
1961    47     1.939     0.875     0.567     0.238     0.107     0.152
1961    48     1.939     0.875     0.567     0.238     0.107     0.153
1961    49     1.939     0.875     0.567     0.238     0.107     0.153
1961    50     1.939     0.875     0.567     0.238     0.107     0.153
1961    51     1.939     0.875     0.567     0.238     0.107     0.153
1961    52     1.939     0.875     0.567     0.238     0.107     0.153
1961    53     1.939     0.875     0.567     0.238     0.107     0.153
1961    54     1.939     0.875     0.567     0.238     0.107     0.153
1961    55     1.939     0.875     0.567     0.238     0.107     0.153
1962    12     0.000     0.000     0.000     0.000     0.000     0.000
1962    13     0.000     0.000     0.000     0.000     0.000     0.000
1962    14     0.000     0.000     0.000     0.000     0.000     0.000
1962    15     0.001     0.001     0.000     0.000     0.000     0.000
1962    16     0.004     0.004     0.000     0.000     0.000     0.000
1962    17     0.016     0.015     0.001     0.000     0.000     0.000
1962    18     0.051     0.047     0.004     0.000     0.000     0.000
1962    19     0.121     0.107     0.013     0.001     0.000     0.000
1962    20     0.231     0.197     0.029     0.004     0.001     0.000
1962    21     0.368     0.301     0.057     0.009     0.001     0.000
1962    22     0.516     0.401     0.094     0.018     0.003     0.000
1962    23     0.670     0.494     0.138     0.030     0.007     0.001
1962    24     0.813     0.568     0.186     0.044     0.012     0.003
1962    25     0.948     0.627     0.235     0.062     0.018     0.006
1962    26     1.070     0.672     0.284     0.079     0.025     0.011
1962    27     1.178     0.705     0.328     0.096     0.032     0.017
1962    28     1.270     0.728     0.366     0.113     0.040     0.023
1962    29     1.355     0.745     0.400     0.130     0.048     0.031
1962    30     1.425     0.759     0.426     0.144     0.055     0.040
1962    31     1.488     0.770     0.448     0.158     0.062     0.050
1962    32     1.543     0.780     0.465     0.170     0.069     0.059
1962    33     1.588     0.787     0.480     0.179     0.074     0.069
1962    34     1.627     0.792     0.491     0.187     0.079     0.078
1962    35     1.661     0.797     0.500     0.194     0.083     0.087
1962    36     1.689     0.801     0.506     0.199     0.087     0.096
1962    37     1.712     0.805     0.511     0.203     0.089     0.103
1962    38     1.733     0.807     0.516     0.207     0.092     0.111
1962    39     1.749     0.809     0.518     0.210     0.094     0.117
1962    40     1.763     0.811     0.521     0.212     0.096     0.123
1962    41     1.773     0.812     0.522     0.213     0.097     0.128
1962    42     1.781     0.813     0.523     0.214     0.098     0.133
1962    43     1.787     0.814     0.524     0.215     0.099     0.136
1962    44     1.791     0.814     0.524     0.215     0.099     0.138
1962    45     1.793     0.814     0.524     0.215     0.099     0.140
1962    46     1.794     0.814     0.524     0.216     0.100     0.140
1962    47     1.795     0.814     0.524     0.216     0.100     0.141
1962    48     1.795     0.814     0.524     0.216     0.100     0.141
1962    49     1.795     0.814     0.524     0.216     0.100     0.141
1962    50     1.795     0.815     0.524     0.216     0.100     0.141
