Hungary, Cumulative cohort fertility rates (horizontal parallelograms
Last modified: 08/03/2022
Cohort  Age     CCFR
1935    12         .
1935    13         .
1935    14         .
1935    15     0.000
1935    16     0.004
1935    17     0.015
1935    18     0.051
1935    19     0.125
1935    20     0.253
1935    21     0.418
1935    22     0.604
1935    23     0.787
1935    24     0.953
1935    25     1.102
1935    26     1.233
1935    27     1.343
1935    28     1.439
1935    29     1.526
1935    30     1.604
1935    31     1.670
1935    32     1.730
1935    33     1.783
1935    34     1.827
1935    35     1.862
1935    36     1.888
1935    37     1.910
1935    38     1.927
1935    39     1.941
1935    40     1.953
1935    41     1.961
1935    42     1.966
1935    43     1.970
1935    44     1.971
1935    45     1.973
1935    46     1.973
1935    47     1.973
1935    48     1.973
1935    49     1.973
1935    50     1.973
1935    51     1.973
1935    52     1.973
1935    53     1.973
1935    54     1.973
1935    55     1.973
1936    12         .
1936    13         .
1936    14     0.000
1936    15     0.001
1936    16     0.003
1936    17     0.016
1936    18     0.053
1936    19     0.134
1936    20     0.264
1936    21     0.429
1936    22     0.618
1936    23     0.797
1936    24     0.959
1936    25     1.104
1936    26     1.230
1936    27     1.340
1936    28     1.441
1936    29     1.531
1936    30     1.608
1936    31     1.679
1936    32     1.744
1936    33     1.798
1936    34     1.840
1936    35     1.875
1936    36     1.901
1936    37     1.922
1936    38     1.941
1936    39     1.956
1936    40     1.966
1936    41     1.974
1936    42     1.979
1936    43     1.982
1936    44     1.983
1936    45     1.984
1936    46     1.985
1936    47     1.985
1936    48     1.985
1936    49     1.985
1936    50     1.985
1936    51     1.985
1936    52     1.985
1936    53     1.985
1936    54     1.985
1936    55     1.985
1937    12         .
1937    13     0.000
1937    14     0.000
1937    15     0.001
1937    16     0.004
1937    17     0.017
1937    18     0.058
1937    19     0.143
1937    20     0.275
1937    21     0.445
1937    22     0.622
1937    23     0.793
1937    24     0.950
1937    25     1.090
1937    26     1.215
1937    27     1.328
1937    28     1.430
1937    29     1.520
1937    30     1.604
1937    31     1.680
1937    32     1.743
1937    33     1.796
1937    34     1.836
1937    35     1.869
1937    36     1.895
1937    37     1.917
1937    38     1.937
1937    39     1.952
1937    40     1.961
1937    41     1.968
1937    42     1.972
1937    43     1.974
1937    44     1.976
1937    45     1.977
1937    46     1.977
1937    47     1.978
1937    48     1.978
1937    49     1.978
1937    50     1.978
1937    51     1.978
1937    52     1.978
1937    53     1.978
1937    54     1.978
1937    55     1.978
1938    12     0.000
1938    13     0.000
1938    14     0.000
1938    15     0.001
1938    16     0.005
1938    17     0.020
1938    18     0.060
1938    19     0.141
1938    20     0.276
1938    21     0.439
1938    22     0.609
1938    23     0.772
1938    24     0.920
1938    25     1.056
1938    26     1.182
1938    27     1.295
1938    28     1.398
1938    29     1.490
1938    30     1.581
1938    31     1.656
1938    32     1.719
1938    33     1.769
1938    34     1.808
1938    35     1.839
1938    36     1.867
1938    37     1.892
1938    38     1.910
1938    39     1.923
1938    40     1.933
1938    41     1.939
1938    42     1.943
1938    43     1.946
1938    44     1.947
1938    45     1.948
1938    46     1.948
1938    47     1.948
1938    48     1.949
1938    49     1.949
1938    50     1.949
1938    51     1.949
1938    52     1.949
1938    53     1.949
1938    54     1.949
1938    55     1.949
1939    12     0.000
1939    13     0.000
1939    14     0.000
1939    15     0.001
1939    16     0.005
1939    17     0.020
1939    18     0.063
1939    19     0.151
1939    20     0.280
1939    21     0.436
1939    22     0.602
1939    23     0.759
1939    24     0.903
1939    25     1.038
1939    26     1.164
1939    27     1.278
1939    28     1.384
1939    29     1.487
1939    30     1.575
1939    31     1.645
1939    32     1.704
1939    33     1.750
1939    34     1.790
1939    35     1.825
1939    36     1.857
1939    37     1.881
1939    38     1.897
1939    39     1.909
1939    40     1.917
1939    41     1.923
1939    42     1.926
1939    43     1.929
1939    44     1.930
1939    45     1.931
1939    46     1.931
1939    47     1.932
1939    48     1.932
1939    49     1.932
1939    50     1.932
1939    51     1.932
1939    52     1.932
1939    53     1.932
1939    54     1.932
1939    55     1.932
1940    12     0.000
1940    13     0.000
1940    14     0.000
1940    15     0.001
1940    16     0.005
1940    17     0.020
1940    18     0.063
1940    19     0.148
1940    20     0.273
1940    21     0.424
1940    22     0.580
1940    23     0.733
1940    24     0.881
1940    25     1.018
1940    26     1.144
1940    27     1.267
1940    28     1.385
1940    29     1.486
1940    30     1.570
1940    31     1.638
1940    32     1.694
1940    33     1.742
1940    34     1.783
1940    35     1.824
1940    36     1.853
1940    37     1.875
1940    38     1.891
1940    39     1.902
1940    40     1.910
1940    41     1.915
1940    42     1.918
1940    43     1.921
1940    44     1.922
1940    45     1.923
1940    46     1.923
1940    47     1.923
1940    48     1.923
1940    49     1.923
1940    50     1.923
1940    51     1.923
1940    52     1.923
1940    53     1.923
1940    54     1.923
1940    55     1.923
1941    12     0.000
1941    13     0.000
1941    14     0.000
1941    15     0.001
1941    16     0.005
1941    17     0.020
1941    18     0.065
1941    19     0.148
1941    20     0.272
1941    21     0.417
1941    22     0.566
1941    23     0.721
1941    24     0.869
1941    25     1.009
1941    26     1.147
1941    27     1.279
1941    28     1.394
1941    29     1.493
1941    30     1.573
1941    31     1.641
1941    32     1.698
1941    33     1.748
1941    34     1.800
1941    35     1.838
1941    36     1.866
1941    37     1.886
1941    38     1.900
1941    39     1.910
1941    40     1.918
1941    41     1.923
1941    42     1.926
1941    43     1.929
1941    44     1.930
1941    45     1.931
1941    46     1.931
1941    47     1.931
1941    48     1.931
1941    49     1.931
1941    50     1.931
1941    51     1.931
1941    52     1.931
1941    53     1.931
1941    54     1.931
1941    55     1.931
1942    12     0.000
1942    13     0.000
1942    14     0.000
1942    15     0.001
1942    16     0.005
1942    17     0.020
1942    18     0.062
1942    19     0.141
1942    20     0.256
1942    21     0.394
1942    22     0.541
1942    23     0.693
1942    24     0.843
1942    25     0.990
1942    26     1.134
1942    27     1.262
1942    28     1.373
1942    29     1.465
1942    30     1.543
1942    31     1.608
1942    32     1.669
1942    33     1.731
1942    34     1.778
1942    35     1.812
1942    36     1.837
1942    37     1.855
1942    38     1.869
1942    39     1.878
1942    40     1.886
1942    41     1.890
1942    42     1.894
1942    43     1.896
1942    44     1.897
1942    45     1.898
1942    46     1.898
1942    47     1.898
1942    48     1.898
1942    49     1.898
1942    50     1.898
1942    51     1.898
1942    52     1.898
1942    53     1.898
1942    54     1.898
1942    55     1.898
1943    12     0.000
1943    13     0.000
1943    14     0.000
1943    15     0.001
1943    16     0.006
1943    17     0.021
1943    18     0.061
1943    19     0.136
1943    20     0.243
1943    21     0.382
1943    22     0.535
1943    23     0.694
1943    24     0.854
1943    25     1.010
1943    26     1.154
1943    27     1.278
1943    28     1.386
1943    29     1.477
1943    30     1.556
1943    31     1.628
1943    32     1.702
1943    33     1.760
1943    34     1.802
1943    35     1.836
1943    36     1.859
1943    37     1.876
1943    38     1.890
1943    39     1.899
1943    40     1.905
1943    41     1.910
1943    42     1.914
1943    43     1.916
1943    44     1.917
1943    45     1.918
1943    46     1.918
1943    47     1.918
1943    48     1.918
1943    49     1.918
1943    50     1.918
1943    51     1.918
1943    52     1.918
1943    53     1.918
1943    54     1.918
1943    55     1.918
1944    12     0.000
1944    13     0.000
1944    14     0.000
1944    15     0.001
1944    16     0.005
1944    17     0.021
1944    18     0.058
1944    19     0.124
1944    20     0.233
1944    21     0.374
1944    22     0.535
1944    23     0.701
1944    24     0.869
1944    25     1.023
1944    26     1.163
1944    27     1.281
1944    28     1.387
1944    29     1.480
1944    30     1.564
1944    31     1.651
1944    32     1.719
1944    33     1.772
1944    34     1.811
1944    35     1.840
1944    36     1.862
1944    37     1.879
1944    38     1.890
1944    39     1.899
1944    40     1.905
1944    41     1.910
1944    42     1.913
1944    43     1.915
1944    44     1.917
1944    45     1.918
1944    46     1.918
1944    47     1.918
1944    48     1.918
1944    49     1.918
1944    50     1.918
1944    51     1.918
1944    52     1.918
1944    53     1.918
1944    54     1.918
1944    55     1.918
1945    12     0.000
1945    13     0.000
1945    14     0.000
1945    15     0.001
1945    16     0.005
1945    17     0.018
1945    18     0.050
1945    19     0.116
1945    20     0.224
1945    21     0.367
1945    22     0.530
1945    23     0.705
1945    24     0.869
1945    25     1.019
1945    26     1.151
1945    27     1.269
1945    28     1.376
1945    29     1.472
1945    30     1.574
1945    31     1.655
1945    32     1.718
1945    33     1.767
1945    34     1.802
1945    35     1.829
1945    36     1.849
1945    37     1.865
1945    38     1.877
1945    39     1.885
1945    40     1.891
1945    41     1.896
1945    42     1.900
1945    43     1.903
1945    44     1.905
1945    45     1.905
1945    46     1.906
1945    47     1.906
1945    48     1.906
1945    49     1.906
1945    50     1.906
1945    51     1.906
1945    52     1.906
1945    53     1.906
1945    54     1.906
1945    55     1.906
1946    12     0.000
1946    13     0.000
1946    14     0.000
1946    15     0.001
1946    16     0.005
1946    17     0.016
1946    18     0.047
1946    19     0.113
1946    20     0.228
1946    21     0.378
1946    22     0.550
1946    23     0.718
1946    24     0.879
1946    25     1.022
1946    26     1.153
1946    27     1.270
1946    28     1.384
1946    29     1.503
1946    30     1.599
1946    31     1.674
1946    32     1.734
1946    33     1.779
1946    34     1.812
1946    35     1.838
1946    36     1.858
1946    37     1.872
1946    38     1.884
1946    39     1.893
1946    40     1.900
1946    41     1.905
1946    42     1.909
1946    43     1.911
1946    44     1.912
1946    45     1.913
1946    46     1.913
1946    47     1.914
1946    48     1.914
1946    49     1.914
1946    50     1.914
1946    51     1.914
1946    52     1.914
1946    53     1.914
1946    54     1.914
1946    55     1.914
1947    12     0.000
1947    13     0.000
1947    14     0.000
1947    15     0.001
1947    16     0.004
1947    17     0.015
1947    18     0.047
1947    19     0.116
1947    20     0.236
1947    21     0.397
1947    22     0.570
1947    23     0.740
1947    24     0.893
1947    25     1.036
1947    26     1.170
1947    27     1.297
1947    28     1.433
1947    29     1.544
1947    30     1.632
1947    31     1.703
1947    32     1.755
1947    33     1.795
1947    34     1.826
1947    35     1.851
1947    36     1.870
1947    37     1.885
1947    38     1.896
1947    39     1.906
1947    40     1.914
1947    41     1.919
1947    42     1.923
1947    43     1.925
1947    44     1.927
1947    45     1.928
1947    46     1.928
1947    47     1.928
1947    48     1.928
1947    49     1.928
1947    50     1.928
1947    51     1.928
1947    52     1.928
1947    53     1.928
1947    54     1.928
1947    55     1.928
1948    12     0.000
1948    13     0.000
1948    14     0.000
1948    15     0.001
1948    16     0.005
1948    17     0.017
1948    18     0.052
1948    19     0.123
1948    20     0.252
1948    21     0.417
1948    22     0.587
1948    23     0.752
1948    24     0.906
1948    25     1.053
1948    26     1.198
1948    27     1.352
1948    28     1.478
1948    29     1.581
1948    30     1.660
1948    31     1.722
1948    32     1.771
1948    33     1.810
1948    34     1.841
1948    35     1.865
1948    36     1.884
1948    37     1.900
1948    38     1.913
1948    39     1.923
1948    40     1.931
1948    41     1.937
1948    42     1.941
1948    43     1.943
1948    44     1.945
1948    45     1.946
1948    46     1.946
1948    47     1.946
1948    48     1.946
1948    49     1.946
1948    50     1.946
1948    51     1.946
1948    52     1.946
1948    53     1.946
1948    54     1.946
1948    55     1.946
1949    12     0.000
1949    13     0.000
1949    14     0.000
1949    15     0.001
1949    16     0.005
1949    17     0.019
1949    18     0.055
1949    19     0.136
1949    20     0.268
1949    21     0.433
1949    22     0.600
1949    23     0.767
1949    24     0.925
1949    25     1.084
1949    26     1.255
1949    27     1.400
1949    28     1.516
1949    29     1.612
1949    30     1.686
1949    31     1.745
1949    32     1.793
1949    33     1.831
1949    34     1.861
1949    35     1.886
1949    36     1.906
1949    37     1.924
1949    38     1.939
1949    39     1.950
1949    40     1.958
1949    41     1.964
1949    42     1.968
1949    43     1.971
1949    44     1.973
1949    45     1.974
1949    46     1.974
1949    47     1.974
1949    48     1.974
1949    49     1.974
1949    50     1.974
1949    51     1.974
1949    52     1.974
1949    53     1.974
1949    54     1.974
1949    55     1.974
1950    12     0.000
1950    13     0.000
1950    14     0.000
1950    15     0.001
1950    16     0.005
1950    17     0.018
1950    18     0.055
1950    19     0.135
1950    20     0.268
1950    21     0.427
1950    22     0.594
1950    23     0.758
1950    24     0.928
1950    25     1.108
1950    26     1.268
1950    27     1.401
1950    28     1.513
1950    29     1.601
1950    30     1.674
1950    31     1.731
1950    32     1.776
1950    33     1.812
1950    34     1.841
1950    35     1.867
1950    36     1.888
1950    37     1.906
1950    38     1.920
1950    39     1.931
1950    40     1.939
1950    41     1.945
1950    42     1.949
1950    43     1.952
1950    44     1.953
1950    45     1.954
1950    46     1.955
1950    47     1.955
1950    48     1.955
1950    49     1.955
1950    50     1.955
1950    51     1.955
1950    52     1.955
1950    53     1.955
1950    54     1.955
1950    55     1.955
1951    12     0.000
1951    13     0.000
1951    14     0.000
1951    15     0.001
1951    16     0.005
1951    17     0.019
1951    18     0.057
1951    19     0.136
1951    20     0.265
1951    21     0.425
1951    22     0.593
1951    23     0.773
1951    24     0.968
1951    25     1.143
1951    26     1.296
1951    27     1.422
1951    28     1.526
1951    29     1.611
1951    30     1.682
1951    31     1.738
1951    32     1.784
1951    33     1.819
1951    34     1.851
1951    35     1.879
1951    36     1.901
1951    37     1.920
1951    38     1.934
1951    39     1.945
1951    40     1.954
1951    41     1.961
1951    42     1.965
1951    43     1.968
1951    44     1.969
1951    45     1.970
1951    46     1.970
1951    47     1.971
1951    48     1.971
1951    49     1.971
1951    50     1.971
1951    51     1.971
1951    52     1.971
1951    53     1.971
1951    54     1.971
1951    55     1.971
1952    12     0.000
1952    13     0.000
1952    14     0.000
1952    15     0.001
1952    16     0.006
1952    17     0.020
1952    18     0.057
1952    19     0.136
1952    20     0.263
1952    21     0.417
1952    22     0.593
1952    23     0.791
1952    24     0.975
1952    25     1.139
1952    26     1.285
1952    27     1.406
1952    28     1.505
1952    29     1.589
1952    30     1.656
1952    31     1.711
1952    32     1.758
1952    33     1.797
1952    34     1.832
1952    35     1.861
1952    36     1.885
1952    37     1.903
1952    38     1.917
1952    39     1.930
1952    40     1.939
1952    41     1.946
1952    42     1.950
1952    43     1.953
1952    44     1.955
1952    45     1.956
1952    46     1.956
1952    47     1.956
1952    48     1.956
1952    49     1.956
1952    50     1.956
1952    51     1.956
1952    52     1.956
1952    53     1.956
1952    54     1.956
1952    55     1.956
1953    12     0.000
1953    13     0.000
1953    14     0.000
1953    15     0.001
1953    16     0.005
1953    17     0.019
1953    18     0.056
1953    19     0.130
1953    20     0.253
1953    21     0.411
1953    22     0.598
1953    23     0.786
1953    24     0.963
1953    25     1.121
1953    26     1.258
1953    27     1.377
1953    28     1.476
1953    29     1.558
1953    30     1.627
1953    31     1.683
1953    32     1.729
1953    33     1.771
1953    34     1.806
1953    35     1.836
1953    36     1.859
1953    37     1.879
1953    38     1.895
1953    39     1.907
1953    40     1.916
1953    41     1.922
1953    42     1.927
1953    43     1.930
1953    44     1.932
1953    45     1.933
1953    46     1.933
1953    47     1.933
1953    48     1.933
1953    49     1.933
1953    50     1.933
1953    51     1.933
1953    52     1.933
1953    53     1.933
1953    54     1.933
1953    55     1.933
1954    12     0.000
1954    13     0.000
1954    14     0.000
1954    15     0.001
1954    16     0.006
1954    17     0.021
1954    18     0.060
1954    19     0.137
1954    20     0.269
1954    21     0.443
1954    22     0.629
1954    23     0.812
1954    24     0.981
1954    25     1.132
1954    26     1.266
1954    27     1.381
1954    28     1.477
1954    29     1.557
1954    30     1.625
1954    31     1.683
1954    32     1.734
1954    33     1.777
1954    34     1.811
1954    35     1.840
1954    36     1.864
1954    37     1.884
1954    38     1.899
1954    39     1.911
1954    40     1.920
1954    41     1.927
1954    42     1.932
1954    43     1.935
1954    44     1.936
1954    45     1.937
1954    46     1.937
1954    47     1.938
1954    48     1.938
1954    49     1.938
1954    50     1.938
1954    51     1.938
1954    52     1.938
1954    53     1.938
1954    54     1.938
1954    55     1.938
1955    12     0.000
1955    13     0.000
1955    14     0.000
1955    15     0.002
1955    16     0.007
1955    17     0.023
1955    18     0.064
1955    19     0.147
1955    20     0.289
1955    21     0.463
1955    22     0.646
1955    23     0.824
1955    24     0.990
1955    25     1.140
1955    26     1.270
1955    27     1.383
1955    28     1.478
1955    29     1.558
1955    30     1.627
1955    31     1.690
1955    32     1.744
1955    33     1.787
1955    34     1.823
1955    35     1.853
1955    36     1.877
1955    37     1.898
1955    38     1.913
1955    39     1.925
1955    40     1.934
1955    41     1.940
1955    42     1.944
1955    43     1.947
1955    44     1.949
1955    45     1.949
1955    46     1.949
1955    47     1.950
1955    48     1.950
1955    49     1.950
1955    50     1.950
1955    51     1.950
1955    52     1.950
1955    53     1.950
1955    54     1.950
1955    55     1.950
1956    12     0.000
1956    13     0.000
1956    14     0.000
1956    15     0.002
1956    16     0.008
1956    17     0.025
1956    18     0.069
1956    19     0.162
1956    20     0.309
1956    21     0.484
1956    22     0.663
1956    23     0.837
1956    24     1.000
1956    25     1.146
1956    26     1.275
1956    27     1.387
1956    28     1.485
1956    29     1.568
1956    30     1.644
1956    31     1.709
1956    32     1.763
1956    33     1.807
1956    34     1.843
1956    35     1.874
1956    36     1.899
1956    37     1.919
1956    38     1.936
1956    39     1.948
1956    40     1.957
1956    41     1.964
1956    42     1.968
1956    43     1.971
1956    44     1.972
1956    45     1.973
1956    46     1.974
1956    47     1.974
1956    48     1.974
1956    49     1.974
1956    50     1.974
1956    51     1.974
1956    52     1.974
1956    53     1.974
1956    54     1.974
1956    55     1.974
1957    12     0.000
1957    13     0.000
1957    14     0.000
1957    15     0.002
1957    16     0.010
1957    17     0.030
1957    18     0.082
1957    19     0.188
1957    20     0.339
1957    21     0.513
1957    22     0.690
1957    23     0.861
1957    24     1.019
1957    25     1.163
1957    26     1.292
1957    27     1.406
1957    28     1.506
1957    29     1.599
1957    30     1.676
1957    31     1.744
1957    32     1.798
1957    33     1.843
1957    34     1.882
1957    35     1.914
1957    36     1.940
1957    37     1.963
1957    38     1.979
1957    39     1.991
1957    40     2.002
1957    41     2.008
1957    42     2.013
1957    43     2.016
1957    44     2.018
1957    45     2.019
1957    46     2.019
1957    47     2.020
1957    48     2.020
1957    49     2.020
1957    50     2.020
1957    51     2.020
1957    52     2.020
1957    53     2.020
1957    54     2.020
1957    55     2.020
1958    12     0.000
1958    13     0.000
1958    14     0.000
1958    15     0.002
1958    16     0.009
1958    17     0.032
1958    18     0.090
1958    19     0.194
1958    20     0.339
1958    21     0.506
1958    22     0.679
1958    23     0.844
1958    24     0.996
1958    25     1.139
1958    26     1.268
1958    27     1.388
1958    28     1.496
1958    29     1.590
1958    30     1.670
1958    31     1.737
1958    32     1.793
1958    33     1.841
1958    34     1.879
1958    35     1.910
1958    36     1.937
1958    37     1.958
1958    38     1.975
1958    39     1.987
1958    40     1.997
1958    41     2.004
1958    42     2.008
1958    43     2.011
1958    44     2.013
1958    45     2.014
1958    46     2.015
1958    47     2.015
1958    48     2.015
1958    49     2.015
1958    50     2.015
1958    51     2.015
1958    52     2.015
1958    53     2.015
1958    54     2.015
1958    55     2.015
1959    12     0.000
1959    13     0.000
1959    14     0.001
1959    15     0.003
1959    16     0.011
1959    17     0.038
1959    18     0.101
1959    19     0.204
1959    20     0.348
1959    21     0.512
1959    22     0.679
1959    23     0.838
1959    24     0.988
1959    25     1.130
1959    26     1.264
1959    27     1.389
1959    28     1.499
1959    29     1.595
1959    30     1.674
1959    31     1.743
1959    32     1.801
1959    33     1.849
1959    34     1.887
1959    35     1.920
1959    36     1.947
1959    37     1.969
1959    38     1.984
1959    39     1.997
1959    40     2.006
1959    41     2.014
1959    42     2.018
1959    43     2.022
1959    44     2.024
1959    45     2.025
1959    46     2.025
1959    47     2.025
1959    48     2.025
1959    49     2.026
1959    50     2.026
1959    51     2.026
1959    52     2.026
1959    53     2.026
1959    54     2.026
1959    55     2.026
1960    12     0.000
1960    13     0.000
1960    14     0.000
1960    15     0.003
1960    16     0.012
1960    17     0.040
1960    18     0.104
1960    19     0.209
1960    20     0.350
1960    21     0.506
1960    22     0.663
1960    23     0.817
1960    24     0.968
1960    25     1.114
1960    26     1.256
1960    27     1.381
1960    28     1.493
1960    29     1.590
1960    30     1.671
1960    31     1.741
1960    32     1.798
1960    33     1.843
1960    34     1.883
1960    35     1.916
1960    36     1.943
1960    37     1.964
1960    38     1.980
1960    39     1.993
1960    40     2.003
1960    41     2.011
1960    42     2.016
1960    43     2.020
1960    44     2.022
1960    45     2.023
1960    46     2.024
1960    47     2.024
1960    48     2.024
1960    49     2.024
1960    50     2.024
1960    51     2.024
1960    52     2.024
1960    53     2.024
1960    54     2.024
1960    55     2.024
1961    12     0.000
1961    13     0.000
1961    14     0.000
1961    15     0.003
1961    16     0.013
1961    17     0.042
1961    18     0.105
1961    19     0.207
1961    20     0.341
1961    21     0.491
1961    22     0.644
1961    23     0.797
1961    24     0.951
1961    25     1.109
1961    26     1.253
1961    27     1.381
1961    28     1.497
1961    29     1.596
1961    30     1.679
1961    31     1.753
1961    32     1.809
1961    33     1.857
1961    34     1.898
1961    35     1.931
1961    36     1.958
1961    37     1.979
1961    38     1.995
1961    39     2.007
1961    40     2.018
1961    41     2.027
1961    42     2.032
1961    43     2.036
1961    44     2.038
1961    45     2.039
1961    46     2.040
1961    47     2.040
1961    48     2.040
1961    49     2.040
1961    50     2.040
1961    51     2.040
1961    52     2.040
1961    53     2.040
1961    54     2.040
1961    55     2.040
1962    12     0.000
1962    13     0.000
1962    14     0.000
1962    15     0.002
1962    16     0.013
1962    17     0.042
1962    18     0.104
1962    19     0.201
1962    20     0.329
1962    21     0.471
1962    22     0.623
1962    23     0.784
1962    24     0.946
1962    25     1.101
1962    26     1.247
1962    27     1.379
1962    28     1.494
1962    29     1.594
1962    30     1.677
1962    31     1.747
1962    32     1.804
1962    33     1.853
1962    34     1.893
1962    35     1.925
1962    36     1.952
1962    37     1.973
1962    38     1.991
1962    39     2.006
1962    40     2.019
1962    41     2.027
1962    42     2.033
1962    43     2.037
1962    44     2.039
1962    45     2.040
1962    46     2.040
1962    47     2.041
1962    48     2.041
1962    49     2.041
1962    50     2.041
1962    51     2.041
1962    52     2.041
1962    53     2.041
1962    54     2.041
1962    55     2.041
1963    12     0.000
1963    13     0.000
1963    14     0.000
1963    15     0.003
1963    16     0.013
1963    17     0.043
1963    18     0.100
1963    19     0.189
1963    20     0.310
1963    21     0.449
1963    22     0.602
1963    23     0.765
1963    24     0.923
1963    25     1.077
1963    26     1.222
1963    27     1.356
1963    28     1.473
1963    29     1.573
1963    30     1.654
1963    31     1.725
1963    32     1.781
1963    33     1.828
1963    34     1.867
1963    35     1.898
1963    36     1.925
1963    37     1.947
1963    38     1.966
1963    39     1.982
1963    40     1.994
1963    41     2.003
1963    42     2.010
1963    43     2.014
1963    44     2.017
1963    45     2.018
1963    46     2.018
1963    47     2.019
1963    48     2.019
1963    49     2.019
1963    50     2.019
1963    51     2.019
1963    52     2.019
1963    53     2.019
1963    54     2.019
1963    55     2.019
1964    12     0.000
1964    13     0.000
1964    14     0.000
1964    15     0.003
1964    16     0.013
1964    17     0.040
1964    18     0.095
1964    19     0.178
1964    20     0.294
1964    21     0.434
1964    22     0.587
1964    23     0.745
1964    24     0.906
1964    25     1.062
1964    26     1.210
1964    27     1.343
1964    28     1.457
1964    29     1.552
1964    30     1.635
1964    31     1.704
1964    32     1.760
1964    33     1.805
1964    34     1.843
1964    35     1.876
1964    36     1.903
1964    37     1.929
1964    38     1.949
1964    39     1.965
1964    40     1.978
1964    41     1.988
1964    42     1.995
1964    43     1.999
1964    44     2.002
1964    45     2.003
1964    46     2.004
1964    47     2.004
1964    48     2.004
1964    49     2.004
1964    50     2.004
1964    51     2.005
1964    52     2.005
1964    53     2.005
1964    54     2.005
1964    55     2.005
1965    12     0.000
1965    13     0.000
1965    14     0.001
